1 {'learning_rate': 0.006724800732846227, 'max_depth': 6, 'n_estimators': 200}
2 {'learning_rate': 0.003841500522826616, 'max_depth': 9, 'n_estimators': 100}
3 {'learning_rate': 0.006016653166759436, 'max_depth': 9, 'n_estimators': 50}
4 {'learning_rate': 0.004522660844559881, 'max_depth': 9, 'n_estimators': 200}
5 {'learning_rate': 0.002410834786599694, 'max_depth': 9, 'n_estimators': 200}
6 {'learning_rate': 0.006577311102037241, 'max_depth': 8, 'n_estimators': 200}
7 {'learning_rate': 0.004104545762830342, 'max_depth': 9, 'n_estimators': 100}
8 {'learning_rate': 0.0016656842602443547, 'max_depth': 8, 'n_estimators': 200}
9 {'learning_rate': 0.009687251558478964, 'max_depth': 6, 'n_estimators': 200}
10 {'learning_rate': 0.00936040849690829, 'max_depth': 9, 'n_estimators': 200}
11 {'learning_rate': 0.006623347856282577, 'max_depth': 7, 'n_estimators': 100}
12 {'learning_rate': 0.006897137990110789, 'max_depth': 8, 'n_estimators': 50}
13 {'learning_rate': 0.0037852235420585446, 'max_depth': 8, 'n_estimators': 200}
14 {'learning_rate': 0.00010295218601594901, 'max_depth': 8, 'n_estimators': 200}
15 {'learning_rate': 0.0005037200994687871, 'max_depth': 8, 'n_estimators': 200}
16 {'learning_rate': 0.002030706585921275, 'max_depth': 5, 'n_estimators': 200}
17 {'learning_rate': 0.008940057146478218, 'max_depth': 7, 'n_estimators': 50}
18 {'learning_rate': 0.005790665277866542, 'max_depth': 9, 'n_estimators': 100}
19 {'learning_rate': 0.0029718529555671784, 'max_depth': 9, 'n_estimators': 200}
20 {'learning_rate': 0.0020704151601078293, 'max_depth': 9, 'n_estimators': 100}
21 {'learning_rate': 0.006594148122037747, 'max_depth': 8, 'n_estimators': 200}
22 {'learning_rate': 0.004558537826741681, 'max_depth': 8, 'n_estimators': 200}
23 {'learning_rate': 0.0063820142995270075, 'max_depth': 6, 'n_estimators': 100}
24 {'learning_rate': 0.0040117078798410834, 'max_depth': 9, 'n_estimators': 100}
25 {'learning_rate': 0.006540885547023727, 'max_depth': 8, 'n_estimators': 200}
26 {'learning_rate': 0.007263205167397638, 'max_depth': 9, 'n_estimators': 200}
27 {'learning_rate': 0.004797802724107485, 'max_depth': 5, 'n_estimators': 200}
28 {'learning_rate': 0.006378109949397522, 'max_depth': 9, 'n_estimators': 50}
29 {'learning_rate': 0.0051185405136457375, 'max_depth': 9, 'n_estimators': 200}
30 {'learning_rate': 0.00037436643037996176, 'max_depth': 9, 'n_estimators': 200}
