1 {'C': 10.268015138833016, 'gamma': 0.0002997712647261278, 'kernel': 'linear'}
2 {'C': 177.83290890732445, 'gamma': 0.0003148301208399865, 'kernel': 'rbf'}
3 {'C': 488.87889456702214, 'gamma': 0.0006626221071914972, 'kernel': 'rbf'}
4 {'C': 990.5312540338026, 'gamma': 0.0002285053526590137, 'kernel': 'rbf'}
5 {'C': 241.89374456278867, 'gamma': 0.00017752414567403103, 'kernel': 'rbf'}
6 {'C': 460.7057866821675, 'gamma': 0.0006013796704089287, 'kernel': 'rbf'}
7 {'C': 917.2963632593928, 'gamma': 0.0006247224312163616, 'kernel': 'rbf'}
8 {'C': 731.1381115703765, 'gamma': 0.0005493349652156697, 'kernel': 'rbf'}
9 {'C': 457.8020910130624, 'gamma': 0.00020281188667982484, 'kernel': 'rbf'}
10 {'C': 66.72662510947981, 'gamma': 0.000930183801596101, 'kernel': 'rbf'}
11 {'C': 382.54741125692004, 'gamma': 0.0005919117680039885, 'kernel': 'rbf'}
12 {'C': 194.61802449010935, 'gamma': 0.0008483685698753407, 'kernel': 'rbf'}
13 {'C': 321.19836190430675, 'gamma': 0.000876843149205164, 'kernel': 'rbf'}
14 {'C': 103.70786663960678, 'gamma': 0.0007315127869098628, 'kernel': 'rbf'}
15 {'C': 494.8465351474691, 'gamma': 0.0005656830039959152, 'kernel': 'rbf'}
16 {'C': 451.94055620252186, 'gamma': 0.0006340630301202039, 'kernel': 'rbf'}
17 {'C': 614.8528417168069, 'gamma': 0.0002541813365909062, 'kernel': 'rbf'}
18 {'C': 709.5282538106495, 'gamma': 0.00021926338837305567, 'kernel': 'rbf'}
19 {'C': 154.37074392272575, 'gamma': 0.0007644520749161095, 'kernel': 'rbf'}
20 {'C': 660.9180336803757, 'gamma': 0.0008142932889635726, 'kernel': 'rbf'}
21 {'C': 144.71624954092303, 'gamma': 0.0008731310292496949, 'kernel': 'rbf'}
22 {'C': 909.509954190959, 'gamma': 0.0002816805511750177, 'kernel': 'rbf'}
23 {'C': 62.54810814450078, 'gamma': 0.0005954272102658487, 'kernel': 'rbf'}
24 {'C': 590.5929878071488, 'gamma': 0.0006882344107631095, 'kernel': 'rbf'}
25 {'C': 15.190440480677086, 'gamma': 0.0004522801494585557, 'kernel': 'linear'}
26 {'C': 659.6948909108982, 'gamma': 0.0005639979013952728, 'kernel': 'rbf'}
27 {'C': 57.3048866119603, 'gamma': 0.00043160558201045686, 'kernel': 'rbf'}
28 {'C': 597.9273711741344, 'gamma': 0.00019869744436665676, 'kernel': 'rbf'}
29 {'C': 568.2942046377754, 'gamma': 0.000872658294330029, 'kernel': 'rbf'}
30 {'C': 217.1193671587733, 'gamma': 0.0007073113933686882, 'kernel': 'rbf'}
