1 {'weights': 'uniform', 'n_neighbors': 50}
2 {'weights': 'distance', 'n_neighbors': 50}
3 {'weights': 'uniform', 'n_neighbors': 15}
4 {'weights': 'uniform', 'n_neighbors': 15}
5 {'weights': 'uniform', 'n_neighbors': 15}
6 {'weights': 'distance', 'n_neighbors': 50}
7 {'weights': 'distance', 'n_neighbors': 50}
8 {'weights': 'distance', 'n_neighbors': 50}
9 {'weights': 'distance', 'n_neighbors': 15}
10 {'weights': 'distance', 'n_neighbors': 50}
11 {'weights': 'distance', 'n_neighbors': 50}
12 {'weights': 'uniform', 'n_neighbors': 15}
13 {'weights': 'uniform', 'n_neighbors': 50}
14 {'weights': 'distance', 'n_neighbors': 50}
15 {'weights': 'uniform', 'n_neighbors': 50}
16 {'weights': 'distance', 'n_neighbors': 15}
17 {'weights': 'distance', 'n_neighbors': 50}
18 {'weights': 'distance', 'n_neighbors': 50}
19 {'weights': 'uniform', 'n_neighbors': 50}
20 {'weights': 'uniform', 'n_neighbors': 50}
21 {'weights': 'uniform', 'n_neighbors': 50}
22 {'weights': 'uniform', 'n_neighbors': 50}
23 {'weights': 'uniform', 'n_neighbors': 50}
24 {'weights': 'distance', 'n_neighbors': 50}
25 {'weights': 'uniform', 'n_neighbors': 50}
26 {'weights': 'distance', 'n_neighbors': 15}
27 {'weights': 'distance', 'n_neighbors': 50}
28 {'weights': 'distance', 'n_neighbors': 50}
29 {'weights': 'uniform', 'n_neighbors': 50}
30 {'weights': 'uniform', 'n_neighbors': 50}
