1 {'learning_rate': 0.0009518225045281014, 'max_depth': 5, 'n_estimators': 100}
2 {'learning_rate': 0.009904701931527048, 'max_depth': 9, 'n_estimators': 200}
3 {'learning_rate': 0.009658226486708442, 'max_depth': 4, 'n_estimators': 200}
4 {'learning_rate': 0.00548102062650361, 'max_depth': 3, 'n_estimators': 200}
5 {'learning_rate': 0.0028663574843227316, 'max_depth': 6, 'n_estimators': 200}
6 {'learning_rate': 0.008601952945275056, 'max_depth': 4, 'n_estimators': 100}
7 {'learning_rate': 0.0008756467213734868, 'max_depth': 5, 'n_estimators': 50}
8 {'learning_rate': 0.0006948278411643662, 'max_depth': 5, 'n_estimators': 200}
9 {'learning_rate': 0.005137374003149342, 'max_depth': 8, 'n_estimators': 200}
10 {'learning_rate': 0.0031564281637327675, 'max_depth': 6, 'n_estimators': 200}
11 {'learning_rate': 0.0049943271498360566, 'max_depth': 4, 'n_estimators': 100}
12 {'learning_rate': 0.003765632420103777, 'max_depth': 5, 'n_estimators': 50}
13 {'learning_rate': 0.007157582740575512, 'max_depth': 3, 'n_estimators': 50}
14 {'learning_rate': 0.007699145250481785, 'max_depth': 3, 'n_estimators': 100}
15 {'learning_rate': 0.009761483459656533, 'max_depth': 3, 'n_estimators': 50}
16 {'learning_rate': 0.0057245428225918315, 'max_depth': 3, 'n_estimators': 200}
17 {'learning_rate': 0.004144861267733403, 'max_depth': 3, 'n_estimators': 200}
18 {'learning_rate': 0.003585529324985823, 'max_depth': 6, 'n_estimators': 50}
19 {'learning_rate': 0.008027835295735142, 'max_depth': 6, 'n_estimators': 200}
20 {'learning_rate': 0.00986331810948387, 'max_depth': 8, 'n_estimators': 200}
21 {'learning_rate': 0.008529270497362232, 'max_depth': 4, 'n_estimators': 100}
22 {'learning_rate': 0.002480884849133022, 'max_depth': 4, 'n_estimators': 200}
23 {'learning_rate': 0.0011260252166101499, 'max_depth': 5, 'n_estimators': 200}
24 {'learning_rate': 0.009257141624939777, 'max_depth': 9, 'n_estimators': 200}
25 {'learning_rate': 0.005348768917133251, 'max_depth': 8, 'n_estimators': 200}
26 {'learning_rate': 0.006053103218802248, 'max_depth': 7, 'n_estimators': 100}
27 {'learning_rate': 0.008560199897624082, 'max_depth': 5, 'n_estimators': 50}
28 {'learning_rate': 0.005617008978993657, 'max_depth': 9, 'n_estimators': 200}
29 {'learning_rate': 0.00789880268112615, 'max_depth': 3, 'n_estimators': 200}
30 {'learning_rate': 0.009573811836594032, 'max_depth': 6, 'n_estimators': 50}
