1 {'C': 625.1123967236356, 'gamma': 0.0006574599732700374, 'kernel': 'rbf'}
2 {'C': 47.11384889464879, 'gamma': 0.0004948985362450527, 'kernel': 'rbf'}
3 {'C': 44.8351184860457, 'gamma': 0.0008049726025931372, 'kernel': 'rbf'}
4 {'C': 475.6324272086799, 'gamma': 0.00034758863520530054, 'kernel': 'rbf'}
5 {'C': 578.3434396407373, 'gamma': 0.0008960566103440238, 'kernel': 'rbf'}
6 {'C': 215.793804330956, 'gamma': 0.0009940432954160198, 'kernel': 'rbf'}
7 {'C': 496.6296019525402, 'gamma': 0.00040012585982801004, 'kernel': 'rbf'}
8 {'C': 586.9745659886944, 'gamma': 0.0003461869664910126, 'kernel': 'rbf'}
9 {'C': 19.43606218116955, 'gamma': 0.0008204445645609902, 'kernel': 'rbf'}
10 {'C': 19.862125246676833, 'gamma': 0.000983199153687769, 'kernel': 'rbf'}
11 {'C': 238.42993189564396, 'gamma': 0.0008996127958039655, 'kernel': 'rbf'}
12 {'C': 74.91263699902314, 'gamma': 0.0004140713518081996, 'kernel': 'rbf'}
13 {'C': 974.8398782885625, 'gamma': 0.0005352385545262517, 'kernel': 'rbf'}
14 {'C': 55.94251911504861, 'gamma': 0.0005560395457514501, 'kernel': 'rbf'}
15 {'C': 20.14107577671834, 'gamma': 0.00033380836925202506, 'kernel': 'rbf'}
16 {'C': 427.42879166497136, 'gamma': 0.00051172953722628, 'kernel': 'rbf'}
17 {'C': 214.19059736818096, 'gamma': 0.00041876619452156004, 'kernel': 'rbf'}
18 {'C': 98.99341104378699, 'gamma': 0.00040063829207765686, 'kernel': 'rbf'}
19 {'C': 390.18287071777735, 'gamma': 0.0007929461668721523, 'kernel': 'rbf'}
20 {'C': 91.65796947125108, 'gamma': 0.00016644262121270873, 'kernel': 'linear'}
21 {'C': 135.87630568051168, 'gamma': 0.0007106678232330763, 'kernel': 'rbf'}
22 {'C': 454.8094704813331, 'gamma': 0.0002631464825675933, 'kernel': 'rbf'}
23 {'C': 221.8466462967705, 'gamma': 0.0009017486946015258, 'kernel': 'rbf'}
24 {'C': 72.92512085097735, 'gamma': 0.0006244735570687056, 'kernel': 'rbf'}
25 {'C': 1.7645855863809439, 'gamma': 0.0004747881325469784, 'kernel': 'linear'}
26 {'C': 219.95125373112688, 'gamma': 0.00031038293642694163, 'kernel': 'rbf'}
27 {'C': 523.9501656081147, 'gamma': 0.0003361872098600477, 'kernel': 'rbf'}
28 {'C': 478.63007269781946, 'gamma': 0.0003433228520476406, 'kernel': 'rbf'}
29 {'C': 375.0799651802739, 'gamma': 0.0005888629218186439, 'kernel': 'rbf'}
30 {'C': 179.08867992803172, 'gamma': 0.0004054220440084605, 'kernel': 'rbf'}
