1 {'learning_rate': 0.005814841523800795, 'max_depth': 9, 'n_estimators': 100}
2 {'learning_rate': 0.003415350721283116, 'max_depth': 9, 'n_estimators': 100}
3 {'learning_rate': 0.0075652850606821595, 'max_depth': 9, 'n_estimators': 100}
4 {'learning_rate': 0.0027406374694568412, 'max_depth': 9, 'n_estimators': 100}
5 {'learning_rate': 0.003377981043959171, 'max_depth': 9, 'n_estimators': 200}
6 {'learning_rate': 0.005405621937083487, 'max_depth': 8, 'n_estimators': 200}
7 {'learning_rate': 0.005754855648214049, 'max_depth': 9, 'n_estimators': 50}
8 {'learning_rate': 0.005320476522151458, 'max_depth': 9, 'n_estimators': 100}
9 {'learning_rate': 0.0027579907458777503, 'max_depth': 9, 'n_estimators': 200}
10 {'learning_rate': 0.0022663176526258326, 'max_depth': 8, 'n_estimators': 200}
11 {'learning_rate': 0.006663360743576108, 'max_depth': 9, 'n_estimators': 100}
12 {'learning_rate': 0.007745659564590423, 'max_depth': 7, 'n_estimators': 100}
13 {'learning_rate': 0.004617389236807863, 'max_depth': 8, 'n_estimators': 100}
14 {'learning_rate': 0.008882117271172909, 'max_depth': 8, 'n_estimators': 200}
15 {'learning_rate': 0.002626014112272407, 'max_depth': 8, 'n_estimators': 100}
16 {'learning_rate': 0.00010430852276541303, 'max_depth': 9, 'n_estimators': 200}
17 {'learning_rate': 0.003218621164669819, 'max_depth': 7, 'n_estimators': 200}
18 {'learning_rate': 0.008270699697109108, 'max_depth': 8, 'n_estimators': 200}
19 {'learning_rate': 0.005132979202329754, 'max_depth': 8, 'n_estimators': 100}
20 {'learning_rate': 0.00916545525358919, 'max_depth': 8, 'n_estimators': 200}
21 {'learning_rate': 0.00021228186520825656, 'max_depth': 8, 'n_estimators': 100}
22 {'learning_rate': 0.009080742340348481, 'max_depth': 6, 'n_estimators': 100}
23 {'learning_rate': 0.0008108980795533962, 'max_depth': 8, 'n_estimators': 200}
24 {'learning_rate': 0.0064392803641617575, 'max_depth': 9, 'n_estimators': 100}
25 {'learning_rate': 0.00226931843238998, 'max_depth': 7, 'n_estimators': 200}
26 {'learning_rate': 0.0013004961023995152, 'max_depth': 8, 'n_estimators': 100}
27 {'learning_rate': 0.002656142314464725, 'max_depth': 9, 'n_estimators': 100}
28 {'learning_rate': 0.00814715436307705, 'max_depth': 9, 'n_estimators': 50}
29 {'learning_rate': 0.007990634308950532, 'max_depth': 9, 'n_estimators': 200}
30 {'learning_rate': 0.002552146322327206, 'max_depth': 9, 'n_estimators': 200}
