1 {'C': 1.7086062883200466, 'gamma': 0.0008266433182690518, 'kernel': 'linear'}
2 {'C': 534.394680746548, 'gamma': 0.00035441436873981597, 'kernel': 'rbf'}
3 {'C': 156.63484166397606, 'gamma': 0.0005959479932055902, 'kernel': 'rbf'}
4 {'C': 264.71734932429433, 'gamma': 0.00014087001658806255, 'kernel': 'rbf'}
5 {'C': 300.05733515159767, 'gamma': 0.0004086875134616447, 'kernel': 'rbf'}
6 {'C': 207.6194471469134, 'gamma': 0.0004999187161786593, 'kernel': 'rbf'}
7 {'C': 86.65654838038688, 'gamma': 0.0009281304973017158, 'kernel': 'rbf'}
8 {'C': 752.9830528794813, 'gamma': 0.0002976001594412231, 'kernel': 'rbf'}
9 {'C': 448.07064724316825, 'gamma': 0.0007300009970435337, 'kernel': 'rbf'}
10 {'C': 308.1000713808185, 'gamma': 0.00016259449425850664, 'kernel': 'rbf'}
11 {'C': 245.87820593690864, 'gamma': 0.00044052173510080535, 'kernel': 'rbf'}
12 {'C': 110.85779540413186, 'gamma': 0.00025933172899684836, 'kernel': 'rbf'}
13 {'C': 74.1387267947172, 'gamma': 0.0008946662372212483, 'kernel': 'rbf'}
14 {'C': 953.8491624347823, 'gamma': 0.0003528046561216922, 'kernel': 'rbf'}
15 {'C': 134.5053200140265, 'gamma': 0.0005862855816384383, 'kernel': 'rbf'}
16 {'C': 28.137344027864625, 'gamma': 0.0009432131144441015, 'kernel': 'rbf'}
17 {'C': 24.29779933115018, 'gamma': 0.0007157481553098272, 'kernel': 'rbf'}
18 {'C': 23.852743692562107, 'gamma': 0.0004020491849283735, 'kernel': 'rbf'}
19 {'C': 123.05528615790925, 'gamma': 0.00035855266665379043, 'kernel': 'rbf'}
20 {'C': 952.7421567959001, 'gamma': 0.00018446002048244634, 'kernel': 'rbf'}
21 {'C': 509.5135486296836, 'gamma': 0.000517802450971903, 'kernel': 'rbf'}
22 {'C': 646.0961199535533, 'gamma': 0.00041789869463502137, 'kernel': 'rbf'}
23 {'C': 192.73490284839514, 'gamma': 0.00041852345359001593, 'kernel': 'rbf'}
24 {'C': 916.0360900817859, 'gamma': 0.0006924370627341346, 'kernel': 'rbf'}
25 {'C': 301.57427386436854, 'gamma': 0.00025124548376740936, 'kernel': 'rbf'}
26 {'C': 58.40687690881784, 'gamma': 0.0009841770204449657, 'kernel': 'rbf'}
27 {'C': 109.17790219498801, 'gamma': 0.0005116701999639449, 'kernel': 'rbf'}
28 {'C': 451.9102332979418, 'gamma': 0.0006726364115909473, 'kernel': 'rbf'}
29 {'C': 70.1531111511474, 'gamma': 0.0006519793547499781, 'kernel': 'rbf'}
30 {'C': 127.37032226001361, 'gamma': 0.00029908262973143003, 'kernel': 'rbf'}
