1 {'weights': 'distance', 'n_neighbors': 50}
2 {'weights': 'distance', 'n_neighbors': 15}
3 {'weights': 'distance', 'n_neighbors': 50}
4 {'weights': 'distance', 'n_neighbors': 50}
5 {'weights': 'distance', 'n_neighbors': 50}
6 {'weights': 'uniform', 'n_neighbors': 50}
7 {'weights': 'distance', 'n_neighbors': 50}
8 {'weights': 'distance', 'n_neighbors': 50}
9 {'weights': 'distance', 'n_neighbors': 15}
10 {'weights': 'uniform', 'n_neighbors': 50}
11 {'weights': 'distance', 'n_neighbors': 50}
12 {'weights': 'distance', 'n_neighbors': 50}
13 {'weights': 'distance', 'n_neighbors': 50}
14 {'weights': 'distance', 'n_neighbors': 50}
15 {'weights': 'distance', 'n_neighbors': 50}
16 {'weights': 'distance', 'n_neighbors': 50}
17 {'weights': 'distance', 'n_neighbors': 50}
18 {'weights': 'distance', 'n_neighbors': 50}
19 {'weights': 'distance', 'n_neighbors': 50}
20 {'weights': 'uniform', 'n_neighbors': 50}
21 {'weights': 'uniform', 'n_neighbors': 50}
22 {'weights': 'distance', 'n_neighbors': 15}
23 {'weights': 'distance', 'n_neighbors': 50}
24 {'weights': 'uniform', 'n_neighbors': 15}
25 {'weights': 'distance', 'n_neighbors': 50}
26 {'weights': 'distance', 'n_neighbors': 50}
27 {'weights': 'distance', 'n_neighbors': 50}
28 {'weights': 'distance', 'n_neighbors': 50}
29 {'weights': 'distance', 'n_neighbors': 50}
30 {'weights': 'distance', 'n_neighbors': 50}
