1 {'C': 137.40100265574173, 'gamma': 0.0008918083779638812, 'kernel': 'rbf'}
2 {'C': 76.2133272074006, 'gamma': 0.00012606706317379624, 'kernel': 'rbf'}
3 {'C': 139.26418072225425, 'gamma': 0.0004928397813331598, 'kernel': 'rbf'}
4 {'C': 517.5995759028314, 'gamma': 0.0006082332904966916, 'kernel': 'rbf'}
5 {'C': 44.658177200442985, 'gamma': 0.00021985133353055703, 'kernel': 'rbf'}
6 {'C': 205.0417368687507, 'gamma': 0.0008820542294391672, 'kernel': 'rbf'}
7 {'C': 7.462740015648179, 'gamma': 0.0007863223080586665, 'kernel': 'rbf'}
8 {'C': 322.8449302161006, 'gamma': 0.000783161185546264, 'kernel': 'rbf'}
9 {'C': 475.1209907188876, 'gamma': 0.0006821391347882179, 'kernel': 'rbf'}
10 {'C': 230.3350862800525, 'gamma': 0.0005644134580003586, 'kernel': 'rbf'}
11 {'C': 79.04656787838519, 'gamma': 0.00030316600968161077, 'kernel': 'rbf'}
12 {'C': 297.6091693628616, 'gamma': 0.0007064784979858291, 'kernel': 'rbf'}
13 {'C': 85.69682911956056, 'gamma': 0.0001364183207659106, 'kernel': 'rbf'}
14 {'C': 765.7435167393988, 'gamma': 0.00027943955407410293, 'kernel': 'rbf'}
15 {'C': 9.870235652889525, 'gamma': 0.0009982185192988979, 'kernel': 'rbf'}
16 {'C': 549.5684664270464, 'gamma': 0.0005645454963881384, 'kernel': 'rbf'}
17 {'C': 515.4371599523383, 'gamma': 0.0004289475094868032, 'kernel': 'rbf'}
18 {'C': 45.15846218214256, 'gamma': 0.000998693493718425, 'kernel': 'rbf'}
19 {'C': 380.93440450808623, 'gamma': 0.0006107118941863627, 'kernel': 'rbf'}
20 {'C': 178.5545645543947, 'gamma': 0.0002713865855700218, 'kernel': 'rbf'}
21 {'C': 945.770831817961, 'gamma': 0.00013309427864902039, 'kernel': 'rbf'}
22 {'C': 267.70522028706495, 'gamma': 0.00042142447996448937, 'kernel': 'rbf'}
23 {'C': 52.755320278731865, 'gamma': 0.0002807476420378413, 'kernel': 'rbf'}
24 {'C': 1.7856304067195166, 'gamma': 0.0007434242362477643, 'kernel': 'linear'}
25 {'C': 500.8069137939624, 'gamma': 0.0004888102159281218, 'kernel': 'rbf'}
26 {'C': 32.88986649893569, 'gamma': 0.0004887461837265643, 'kernel': 'rbf'}
27 {'C': 489.97082321687213, 'gamma': 0.0005156725113749556, 'kernel': 'rbf'}
28 {'C': 54.77149617639565, 'gamma': 0.0009730000560535404, 'kernel': 'rbf'}
29 {'C': 773.8660459915411, 'gamma': 0.0009462043268422245, 'kernel': 'rbf'}
30 {'C': 555.9284351893059, 'gamma': 0.00036792634814245586, 'kernel': 'rbf'}
