1 {'weights': 'distance', 'n_neighbors': 10}
2 {'weights': 'distance', 'n_neighbors': 5}
3 {'weights': 'distance', 'n_neighbors': 3}
4 {'weights': 'distance', 'n_neighbors': 10}
5 {'weights': 'distance', 'n_neighbors': 3}
6 {'weights': 'distance', 'n_neighbors': 5}
7 {'weights': 'distance', 'n_neighbors': 7}
8 {'weights': 'distance', 'n_neighbors': 10}
9 {'weights': 'distance', 'n_neighbors': 3}
10 {'weights': 'distance', 'n_neighbors': 3}
11 {'weights': 'distance', 'n_neighbors': 3}
12 {'weights': 'distance', 'n_neighbors': 7}
13 {'weights': 'distance', 'n_neighbors': 10}
14 {'weights': 'distance', 'n_neighbors': 7}
15 {'weights': 'distance', 'n_neighbors': 3}
16 {'weights': 'distance', 'n_neighbors': 7}
17 {'weights': 'distance', 'n_neighbors': 3}
18 {'weights': 'distance', 'n_neighbors': 15}
19 {'weights': 'distance', 'n_neighbors': 7}
20 {'weights': 'distance', 'n_neighbors': 5}
21 {'weights': 'distance', 'n_neighbors': 10}
22 {'weights': 'distance', 'n_neighbors': 3}
23 {'weights': 'distance', 'n_neighbors': 3}
24 {'weights': 'distance', 'n_neighbors': 10}
25 {'weights': 'distance', 'n_neighbors': 7}
26 {'weights': 'distance', 'n_neighbors': 7}
27 {'weights': 'distance', 'n_neighbors': 5}
28 {'weights': 'distance', 'n_neighbors': 3}
29 {'weights': 'distance', 'n_neighbors': 10}
30 {'weights': 'distance', 'n_neighbors': 10}
