1 {'learning_rate': 0.0037670389619412436, 'max_depth': 7, 'n_estimators': 200}
2 {'learning_rate': 0.001065811937312996, 'max_depth': 8, 'n_estimators': 200}
3 {'learning_rate': 0.004536790495138632, 'max_depth': 9, 'n_estimators': 200}
4 {'learning_rate': 0.00412619702813874, 'max_depth': 9, 'n_estimators': 200}
5 {'learning_rate': 0.006427564628579493, 'max_depth': 5, 'n_estimators': 100}
6 {'learning_rate': 0.005269687865686264, 'max_depth': 6, 'n_estimators': 200}
7 {'learning_rate': 0.0038653051020779068, 'max_depth': 8, 'n_estimators': 50}
8 {'learning_rate': 0.002893011718393265, 'max_depth': 7, 'n_estimators': 200}
9 {'learning_rate': 0.0027260575710889583, 'max_depth': 5, 'n_estimators': 200}
10 {'learning_rate': 0.009329442101344468, 'max_depth': 8, 'n_estimators': 200}
11 {'learning_rate': 0.0014168956969767212, 'max_depth': 7, 'n_estimators': 200}
12 {'learning_rate': 0.009947352216249568, 'max_depth': 9, 'n_estimators': 200}
13 {'learning_rate': 0.008608767812410672, 'max_depth': 7, 'n_estimators': 100}
14 {'learning_rate': 0.007987784580336929, 'max_depth': 6, 'n_estimators': 200}
15 {'learning_rate': 0.0022306111440148916, 'max_depth': 9, 'n_estimators': 200}
16 {'learning_rate': 0.004768914794473098, 'max_depth': 9, 'n_estimators': 200}
17 {'learning_rate': 0.004499789439685412, 'max_depth': 6, 'n_estimators': 100}
18 {'learning_rate': 0.0053789783639526115, 'max_depth': 8, 'n_estimators': 100}
19 {'learning_rate': 0.00576357458668493, 'max_depth': 7, 'n_estimators': 100}
20 {'learning_rate': 0.009930228095058398, 'max_depth': 4, 'n_estimators': 200}
21 {'learning_rate': 0.004647407974886949, 'max_depth': 4, 'n_estimators': 200}
22 {'learning_rate': 0.009767661244771877, 'max_depth': 5, 'n_estimators': 200}
23 {'learning_rate': 0.0013643773359353544, 'max_depth': 8, 'n_estimators': 200}
24 {'learning_rate': 0.0017190689669793903, 'max_depth': 8, 'n_estimators': 50}
25 {'learning_rate': 0.00999237051792016, 'max_depth': 8, 'n_estimators': 50}
26 {'learning_rate': 0.005217016453132463, 'max_depth': 9, 'n_estimators': 200}
27 {'learning_rate': 0.00736865058153373, 'max_depth': 7, 'n_estimators': 200}
28 {'learning_rate': 0.007945724482219758, 'max_depth': 6, 'n_estimators': 200}
29 {'learning_rate': 0.005629381881322587, 'max_depth': 7, 'n_estimators': 200}
30 {'learning_rate': 0.005770984885501366, 'max_depth': 7, 'n_estimators': 100}
