1 {'C': 276.47027728046453, 'gamma': 0.0005253837318711078, 'kernel': 'rbf'}
2 {'C': 483.18900784435726, 'gamma': 0.00038689543187626457, 'kernel': 'rbf'}
3 {'C': 131.3860301231443, 'gamma': 0.00035593292582215185, 'kernel': 'rbf'}
4 {'C': 544.6673054737058, 'gamma': 0.0004932501380173026, 'kernel': 'rbf'}
5 {'C': 514.532945218789, 'gamma': 0.00016727448378140236, 'kernel': 'rbf'}
6 {'C': 14.265672798113735, 'gamma': 0.0009403093898788241, 'kernel': 'rbf'}
7 {'C': 264.7262786283344, 'gamma': 0.00023372375872011527, 'kernel': 'rbf'}
8 {'C': 455.0942361268513, 'gamma': 0.0008701851749430077, 'kernel': 'rbf'}
9 {'C': 373.81764535621375, 'gamma': 0.0006029026613920728, 'kernel': 'rbf'}
10 {'C': 4.885851128065824, 'gamma': 0.0005178735111711367, 'kernel': 'linear'}
11 {'C': 902.573413994885, 'gamma': 0.00033117917247603706, 'kernel': 'rbf'}
12 {'C': 20.646001904916744, 'gamma': 0.000626250307705193, 'kernel': 'rbf'}
13 {'C': 61.2331738460854, 'gamma': 0.00013731510221746994, 'kernel': 'rbf'}
14 {'C': 89.38984025152268, 'gamma': 0.0009576001607121727, 'kernel': 'rbf'}
15 {'C': 215.99739223663943, 'gamma': 0.0009670292265061884, 'kernel': 'rbf'}
16 {'C': 261.0630212889375, 'gamma': 0.00023529754225031543, 'kernel': 'rbf'}
17 {'C': 687.7614942352208, 'gamma': 0.0009581959726147394, 'kernel': 'rbf'}
18 {'C': 45.46976860382338, 'gamma': 0.0003741284810564069, 'kernel': 'rbf'}
19 {'C': 607.0030348458474, 'gamma': 0.0004566111349482814, 'kernel': 'rbf'}
20 {'C': 731.4825736960458, 'gamma': 0.00017351062313169732, 'kernel': 'rbf'}
21 {'C': 161.49879444053514, 'gamma': 0.0005515063477682753, 'kernel': 'rbf'}
22 {'C': 491.8338877698527, 'gamma': 0.0003462833773335311, 'kernel': 'rbf'}
23 {'C': 432.3954768268978, 'gamma': 0.0005368905279145341, 'kernel': 'rbf'}
24 {'C': 929.9235582548469, 'gamma': 0.0006318347310646711, 'kernel': 'rbf'}
25 {'C': 630.1279556937783, 'gamma': 0.0005040743108941952, 'kernel': 'rbf'}
26 {'C': 912.8580870057236, 'gamma': 0.00036293429959593484, 'kernel': 'rbf'}
27 {'C': 30.779873974354906, 'gamma': 0.0006858752158818871, 'kernel': 'rbf'}
28 {'C': 98.81366141302456, 'gamma': 0.0004948199133958972, 'kernel': 'rbf'}
29 {'C': 117.78490538031228, 'gamma': 0.0008056186381839522, 'kernel': 'rbf'}
30 {'C': 54.72049932261512, 'gamma': 0.00016145371844822343, 'kernel': 'linear'}
