1 {'weights': 'distance', 'n_neighbors': 3}
2 {'weights': 'distance', 'n_neighbors': 5}
3 {'weights': 'distance', 'n_neighbors': 3}
4 {'weights': 'distance', 'n_neighbors': 7}
5 {'weights': 'distance', 'n_neighbors': 5}
6 {'weights': 'distance', 'n_neighbors': 3}
7 {'weights': 'distance', 'n_neighbors': 10}
8 {'weights': 'distance', 'n_neighbors': 3}
9 {'weights': 'distance', 'n_neighbors': 3}
10 {'weights': 'distance', 'n_neighbors': 3}
11 {'weights': 'distance', 'n_neighbors': 10}
12 {'weights': 'distance', 'n_neighbors': 10}
13 {'weights': 'distance', 'n_neighbors': 10}
14 {'weights': 'distance', 'n_neighbors': 3}
15 {'weights': 'distance', 'n_neighbors': 3}
16 {'weights': 'distance', 'n_neighbors': 5}
17 {'weights': 'distance', 'n_neighbors': 5}
18 {'weights': 'distance', 'n_neighbors': 3}
19 {'weights': 'distance', 'n_neighbors': 10}
20 {'weights': 'distance', 'n_neighbors': 5}
21 {'weights': 'distance', 'n_neighbors': 10}
22 {'weights': 'distance', 'n_neighbors': 3}
23 {'weights': 'distance', 'n_neighbors': 5}
24 {'weights': 'distance', 'n_neighbors': 3}
25 {'weights': 'distance', 'n_neighbors': 3}
26 {'weights': 'distance', 'n_neighbors': 7}
27 {'weights': 'distance', 'n_neighbors': 3}
28 {'weights': 'distance', 'n_neighbors': 3}
29 {'weights': 'distance', 'n_neighbors': 3}
30 {'weights': 'distance', 'n_neighbors': 10}
