1 {'learning_rate': 0.005153591106079522, 'max_depth': 6, 'n_estimators': 100}
2 {'learning_rate': 0.005439793836694816, 'max_depth': 8, 'n_estimators': 100}
3 {'learning_rate': 0.00114699273920242, 'max_depth': 9, 'n_estimators': 200}
4 {'learning_rate': 0.007635305095411488, 'max_depth': 9, 'n_estimators': 50}
5 {'learning_rate': 0.0016610725281898952, 'max_depth': 9, 'n_estimators': 100}
6 {'learning_rate': 0.0024839395833375043, 'max_depth': 7, 'n_estimators': 200}
7 {'learning_rate': 0.0014429733075294953, 'max_depth': 9, 'n_estimators': 200}
8 {'learning_rate': 0.005936878215022957, 'max_depth': 5, 'n_estimators': 200}
9 {'learning_rate': 0.008272176284416418, 'max_depth': 6, 'n_estimators': 100}
10 {'learning_rate': 0.0052506826666944536, 'max_depth': 7, 'n_estimators': 200}
11 {'learning_rate': 0.006600992706905871, 'max_depth': 7, 'n_estimators': 200}
12 {'learning_rate': 0.007143169850853605, 'max_depth': 8, 'n_estimators': 100}
13 {'learning_rate': 0.0017029756827668878, 'max_depth': 9, 'n_estimators': 100}
14 {'learning_rate': 0.003404738919749918, 'max_depth': 9, 'n_estimators': 200}
15 {'learning_rate': 0.009670826117635695, 'max_depth': 6, 'n_estimators': 100}
16 {'learning_rate': 0.0024986588213615686, 'max_depth': 9, 'n_estimators': 100}
17 {'learning_rate': 0.006350837410863034, 'max_depth': 9, 'n_estimators': 200}
18 {'learning_rate': 0.004895145784994008, 'max_depth': 6, 'n_estimators': 200}
19 {'learning_rate': 0.008134417148896777, 'max_depth': 9, 'n_estimators': 100}
20 {'learning_rate': 0.005218960376142653, 'max_depth': 9, 'n_estimators': 200}
21 {'learning_rate': 0.008276572658986542, 'max_depth': 7, 'n_estimators': 100}
22 {'learning_rate': 0.00664232318169113, 'max_depth': 8, 'n_estimators': 200}
23 {'learning_rate': 0.005734227671332653, 'max_depth': 9, 'n_estimators': 200}
24 {'learning_rate': 0.009910977250826637, 'max_depth': 7, 'n_estimators': 200}
25 {'learning_rate': 0.008246952980560532, 'max_depth': 9, 'n_estimators': 50}
26 {'learning_rate': 0.007688127219114958, 'max_depth': 7, 'n_estimators': 100}
27 {'learning_rate': 0.003067853346697429, 'max_depth': 9, 'n_estimators': 200}
28 {'learning_rate': 0.00653774378814927, 'max_depth': 9, 'n_estimators': 200}
29 {'learning_rate': 0.0071154423517098345, 'max_depth': 8, 'n_estimators': 100}
30 {'learning_rate': 0.004584444718440147, 'max_depth': 9, 'n_estimators': 100}
