1 {'learning_rate': 0.007834847045958465, 'max_depth': 9, 'n_estimators': 50}
2 {'learning_rate': 0.0022623038039216985, 'max_depth': 3, 'n_estimators': 100}
3 {'learning_rate': 0.00617480025388036, 'max_depth': 9, 'n_estimators': 200}
4 {'learning_rate': 0.005205204290132901, 'max_depth': 9, 'n_estimators': 200}
5 {'learning_rate': 0.008170784177686945, 'max_depth': 8, 'n_estimators': 100}
6 {'learning_rate': 0.009887082922100764, 'max_depth': 8, 'n_estimators': 200}
7 {'learning_rate': 0.007409680037335668, 'max_depth': 6, 'n_estimators': 200}
8 {'learning_rate': 0.005521456988944541, 'max_depth': 8, 'n_estimators': 100}
9 {'learning_rate': 0.00774472956947693, 'max_depth': 6, 'n_estimators': 200}
10 {'learning_rate': 0.006082162009518278, 'max_depth': 5, 'n_estimators': 100}
11 {'learning_rate': 0.007452558045591164, 'max_depth': 4, 'n_estimators': 200}
12 {'learning_rate': 0.0031659150829350283, 'max_depth': 8, 'n_estimators': 200}
13 {'learning_rate': 0.008061434011794903, 'max_depth': 3, 'n_estimators': 100}
14 {'learning_rate': 0.004055974872945042, 'max_depth': 6, 'n_estimators': 200}
15 {'learning_rate': 0.0032805261561794064, 'max_depth': 7, 'n_estimators': 200}
16 {'learning_rate': 0.005176618150051915, 'max_depth': 8, 'n_estimators': 200}
17 {'learning_rate': 0.0066957082359162725, 'max_depth': 7, 'n_estimators': 50}
18 {'learning_rate': 0.008401529419443148, 'max_depth': 8, 'n_estimators': 50}
19 {'learning_rate': 0.006494623033594043, 'max_depth': 5, 'n_estimators': 100}
20 {'learning_rate': 0.00790068364260986, 'max_depth': 8, 'n_estimators': 200}
21 {'learning_rate': 0.009772362617785097, 'max_depth': 7, 'n_estimators': 100}
22 {'learning_rate': 0.003457732766726027, 'max_depth': 5, 'n_estimators': 200}
23 {'learning_rate': 0.0018850223965488678, 'max_depth': 7, 'n_estimators': 200}
24 {'learning_rate': 0.008029919923763935, 'max_depth': 8, 'n_estimators': 200}
25 {'learning_rate': 0.003875733989587348, 'max_depth': 3, 'n_estimators': 50}
26 {'learning_rate': 0.0073045445692022344, 'max_depth': 5, 'n_estimators': 200}
27 {'learning_rate': 0.005034706056691206, 'max_depth': 6, 'n_estimators': 200}
28 {'learning_rate': 0.0031490715908838595, 'max_depth': 8, 'n_estimators': 200}
29 {'learning_rate': 0.006424598553605481, 'max_depth': 5, 'n_estimators': 200}
30 {'learning_rate': 0.006152526311136835, 'max_depth': 9, 'n_estimators': 200}
