1 {'C': 35.71939045938041, 'gamma': 0.0007956874506504882, 'kernel': 'rbf'}
2 {'C': 272.4972169824924, 'gamma': 0.0008399072134763671, 'kernel': 'rbf'}
3 {'C': 430.25728278228365, 'gamma': 0.0007542450431935019, 'kernel': 'rbf'}
4 {'C': 505.0764775446891, 'gamma': 0.0006227764612706441, 'kernel': 'rbf'}
5 {'C': 91.43323224394857, 'gamma': 0.00012314891349748803, 'kernel': 'linear'}
6 {'C': 412.20589902074704, 'gamma': 0.0005291379430718453, 'kernel': 'rbf'}
7 {'C': 331.29424846493356, 'gamma': 0.0003251378434720019, 'kernel': 'linear'}
8 {'C': 7.460009340190332, 'gamma': 0.000900880870701946, 'kernel': 'rbf'}
9 {'C': 15.642309518718639, 'gamma': 0.0008854120896381103, 'kernel': 'rbf'}
10 {'C': 423.36918242426384, 'gamma': 0.000440939413952101, 'kernel': 'rbf'}
11 {'C': 75.16228344473586, 'gamma': 0.00047384465958482807, 'kernel': 'rbf'}
12 {'C': 2.9743311973617987, 'gamma': 0.0001628645380118846, 'kernel': 'linear'}
13 {'C': 229.29986776280896, 'gamma': 0.00046158835198044845, 'kernel': 'rbf'}
14 {'C': 15.44897073258868, 'gamma': 0.0005832027353135171, 'kernel': 'rbf'}
15 {'C': 1.7994771827950318, 'gamma': 0.0009997076865697195, 'kernel': 'linear'}
16 {'C': 614.4593246998517, 'gamma': 0.0004780938821410062, 'kernel': 'rbf'}
17 {'C': 17.035344708671065, 'gamma': 0.00037912166599493477, 'kernel': 'linear'}
18 {'C': 4.26495066550314, 'gamma': 0.0006861152744340748, 'kernel': 'rbf'}
19 {'C': 10.89948567047923, 'gamma': 0.00010087172753902747, 'kernel': 'linear'}
20 {'C': 745.2709593629863, 'gamma': 0.0005671401936943703, 'kernel': 'rbf'}
21 {'C': 947.43352548683, 'gamma': 0.000761591536216528, 'kernel': 'rbf'}
22 {'C': 2.2734472660979894, 'gamma': 0.0009455999760936882, 'kernel': 'linear'}
23 {'C': 99.31779377351181, 'gamma': 0.0007207695597912186, 'kernel': 'linear'}
24 {'C': 955.8723854412317, 'gamma': 0.000902727944787217, 'kernel': 'rbf'}
25 {'C': 412.0819658545421, 'gamma': 0.0006459940457166119, 'kernel': 'rbf'}
26 {'C': 109.287008896955, 'gamma': 0.0007568788363662477, 'kernel': 'rbf'}
27 {'C': 113.93908160820675, 'gamma': 0.0006691506121075024, 'kernel': 'rbf'}
28 {'C': 9.545515128946125, 'gamma': 0.00098020385934231, 'kernel': 'linear'}
29 {'C': 161.05039426160974, 'gamma': 0.0005778136015666952, 'kernel': 'rbf'}
30 {'C': 721.8189939023706, 'gamma': 0.00014884426829046588, 'kernel': 'rbf'}
