1 {'weights': 'distance', 'n_neighbors': 10}
2 {'weights': 'distance', 'n_neighbors': 15}
3 {'weights': 'distance', 'n_neighbors': 50}
4 {'weights': 'uniform', 'n_neighbors': 15}
5 {'weights': 'distance', 'n_neighbors': 10}
6 {'weights': 'distance', 'n_neighbors': 50}
7 {'weights': 'distance', 'n_neighbors': 15}
8 {'weights': 'distance', 'n_neighbors': 10}
9 {'weights': 'uniform', 'n_neighbors': 15}
10 {'weights': 'distance', 'n_neighbors': 50}
11 {'weights': 'distance', 'n_neighbors': 10}
12 {'weights': 'uniform', 'n_neighbors': 15}
13 {'weights': 'distance', 'n_neighbors': 50}
14 {'weights': 'distance', 'n_neighbors': 10}
15 {'weights': 'uniform', 'n_neighbors': 50}
16 {'weights': 'distance', 'n_neighbors': 50}
17 {'weights': 'distance', 'n_neighbors': 15}
18 {'weights': 'distance', 'n_neighbors': 7}
19 {'weights': 'distance', 'n_neighbors': 10}
20 {'weights': 'distance', 'n_neighbors': 50}
21 {'weights': 'uniform', 'n_neighbors': 50}
22 {'weights': 'uniform', 'n_neighbors': 15}
23 {'weights': 'uniform', 'n_neighbors': 10}
24 {'weights': 'uniform', 'n_neighbors': 15}
25 {'weights': 'distance', 'n_neighbors': 50}
26 {'weights': 'distance', 'n_neighbors': 7}
27 {'weights': 'distance', 'n_neighbors': 15}
28 {'weights': 'uniform', 'n_neighbors': 15}
29 {'weights': 'uniform', 'n_neighbors': 15}
30 {'weights': 'distance', 'n_neighbors': 7}
