1 {'learning_rate': 0.005828465903241479, 'max_depth': 4, 'n_estimators': 100}
2 {'learning_rate': 0.00017489608179977598, 'max_depth': 3, 'n_estimators': 50}
3 {'learning_rate': 0.004412222156618945, 'max_depth': 3, 'n_estimators': 100}
4 {'learning_rate': 0.0016752662557176195, 'max_depth': 3, 'n_estimators': 100}
5 {'learning_rate': 0.008155960424447002, 'max_depth': 5, 'n_estimators': 200}
6 {'learning_rate': 0.005468566452894648, 'max_depth': 5, 'n_estimators': 200}
7 {'learning_rate': 0.00843848242546475, 'max_depth': 8, 'n_estimators': 100}
8 {'learning_rate': 0.007360659835636396, 'max_depth': 6, 'n_estimators': 200}
9 {'learning_rate': 0.00025642623974100366, 'max_depth': 7, 'n_estimators': 50}
10 {'learning_rate': 0.007464790354834507, 'max_depth': 6, 'n_estimators': 200}
11 {'learning_rate': 0.009053041146923044, 'max_depth': 3, 'n_estimators': 100}
12 {'learning_rate': 0.0032927394484312707, 'max_depth': 3, 'n_estimators': 100}
13 {'learning_rate': 0.007461243919751444, 'max_depth': 7, 'n_estimators': 50}
14 {'learning_rate': 0.008746384169854907, 'max_depth': 6, 'n_estimators': 200}
15 {'learning_rate': 0.006107451556252873, 'max_depth': 5, 'n_estimators': 200}
16 {'learning_rate': 0.0034220562866391397, 'max_depth': 4, 'n_estimators': 100}
17 {'learning_rate': 0.0012402268431156794, 'max_depth': 3, 'n_estimators': 200}
18 {'learning_rate': 0.004342700847401535, 'max_depth': 7, 'n_estimators': 200}
19 {'learning_rate': 0.004750630207760136, 'max_depth': 4, 'n_estimators': 100}
20 {'learning_rate': 0.00454649112146658, 'max_depth': 3, 'n_estimators': 100}
21 {'learning_rate': 0.006832908653676291, 'max_depth': 4, 'n_estimators': 100}
22 {'learning_rate': 0.007763083801991367, 'max_depth': 4, 'n_estimators': 200}
23 {'learning_rate': 0.00018224417883407737, 'max_depth': 6, 'n_estimators': 100}
24 {'learning_rate': 0.0024831308802287615, 'max_depth': 4, 'n_estimators': 100}
25 {'learning_rate': 0.006196292066752645, 'max_depth': 4, 'n_estimators': 200}
26 {'learning_rate': 0.00919535055534335, 'max_depth': 9, 'n_estimators': 200}
27 {'learning_rate': 0.00016074809766218918, 'max_depth': 3, 'n_estimators': 200}
28 {'learning_rate': 0.009736946811335457, 'max_depth': 8, 'n_estimators': 100}
29 {'learning_rate': 0.002662746901849583, 'max_depth': 4, 'n_estimators': 200}
30 {'learning_rate': 0.004888065852914077, 'max_depth': 5, 'n_estimators': 200}
