1 {'C': 12.47459760593605, 'gamma': 0.0005427166941964015, 'kernel': 'rbf'}
2 {'C': 18.313690840489045, 'gamma': 0.0005534450307784612, 'kernel': 'linear'}
3 {'C': 208.4734513951393, 'gamma': 0.0002698397283300234, 'kernel': 'linear'}
4 {'C': 32.7821089538596, 'gamma': 0.00019800774468514308, 'kernel': 'linear'}
5 {'C': 825.6900853917853, 'gamma': 0.0004938532767822311, 'kernel': 'rbf'}
6 {'C': 25.18156781197435, 'gamma': 0.0009727119542534857, 'kernel': 'rbf'}
7 {'C': 846.3100430278149, 'gamma': 0.00015396194592938296, 'kernel': 'rbf'}
8 {'C': 165.02167852408618, 'gamma': 0.00016021972385695446, 'kernel': 'linear'}
9 {'C': 713.9556918619489, 'gamma': 0.00048340083829480866, 'kernel': 'rbf'}
10 {'C': 477.91819526800964, 'gamma': 0.000763530018849963, 'kernel': 'linear'}
11 {'C': 95.27423538166515, 'gamma': 0.0008216072716205956, 'kernel': 'rbf'}
12 {'C': 235.33375624207093, 'gamma': 0.00023300020811235244, 'kernel': 'linear'}
13 {'C': 577.5897910357187, 'gamma': 0.0002781718171511558, 'kernel': 'rbf'}
14 {'C': 651.5887756968103, 'gamma': 0.0006206158821373025, 'kernel': 'rbf'}
15 {'C': 75.41865992414691, 'gamma': 0.00010385160846853126, 'kernel': 'rbf'}
16 {'C': 32.91967970584851, 'gamma': 0.00014647925630213306, 'kernel': 'linear'}
17 {'C': 542.8957633000385, 'gamma': 0.0002541931957176459, 'kernel': 'rbf'}
18 {'C': 751.9487346068629, 'gamma': 0.0004862179278900032, 'kernel': 'linear'}
19 {'C': 468.5418742331527, 'gamma': 0.00025837468093220463, 'kernel': 'rbf'}
20 {'C': 12.043012221995022, 'gamma': 0.0005340475635316014, 'kernel': 'rbf'}
21 {'C': 132.5238834447358, 'gamma': 0.0009670712509767571, 'kernel': 'rbf'}
22 {'C': 130.64542787959277, 'gamma': 0.0006848988777355812, 'kernel': 'linear'}
23 {'C': 61.88518074183847, 'gamma': 0.0006030598569882032, 'kernel': 'linear'}
24 {'C': 326.3715185817779, 'gamma': 0.0005912391995955196, 'kernel': 'linear'}
25 {'C': 4.334028907884872, 'gamma': 0.0001711051300555845, 'kernel': 'linear'}
26 {'C': 6.110712110947505, 'gamma': 0.00018854101829837778, 'kernel': 'linear'}
27 {'C': 149.78262452386426, 'gamma': 0.0005646169897623719, 'kernel': 'rbf'}
28 {'C': 9.25558712391134, 'gamma': 0.00013598188825973573, 'kernel': 'linear'}
29 {'C': 511.5222234263261, 'gamma': 0.00015373871915734744, 'kernel': 'linear'}
30 {'C': 4.664655387347554, 'gamma': 0.0003972432339979332, 'kernel': 'linear'}
