1 {'weights': 'distance', 'n_neighbors': 50}
2 {'weights': 'distance', 'n_neighbors': 50}
3 {'weights': 'distance', 'n_neighbors': 50}
4 {'weights': 'distance', 'n_neighbors': 50}
5 {'weights': 'distance', 'n_neighbors': 50}
6 {'weights': 'distance', 'n_neighbors': 15}
7 {'weights': 'distance', 'n_neighbors': 50}
8 {'weights': 'distance', 'n_neighbors': 15}
9 {'weights': 'distance', 'n_neighbors': 50}
10 {'weights': 'distance', 'n_neighbors': 50}
11 {'weights': 'distance', 'n_neighbors': 50}
12 {'weights': 'distance', 'n_neighbors': 50}
13 {'weights': 'distance', 'n_neighbors': 15}
14 {'weights': 'distance', 'n_neighbors': 50}
15 {'weights': 'distance', 'n_neighbors': 15}
16 {'weights': 'distance', 'n_neighbors': 50}
17 {'weights': 'distance', 'n_neighbors': 50}
18 {'weights': 'distance', 'n_neighbors': 15}
19 {'weights': 'distance', 'n_neighbors': 50}
20 {'weights': 'distance', 'n_neighbors': 15}
21 {'weights': 'distance', 'n_neighbors': 50}
22 {'weights': 'distance', 'n_neighbors': 50}
23 {'weights': 'distance', 'n_neighbors': 15}
24 {'weights': 'distance', 'n_neighbors': 50}
25 {'weights': 'distance', 'n_neighbors': 15}
26 {'weights': 'distance', 'n_neighbors': 50}
27 {'weights': 'distance', 'n_neighbors': 50}
28 {'weights': 'distance', 'n_neighbors': 50}
29 {'weights': 'distance', 'n_neighbors': 10}
30 {'weights': 'distance', 'n_neighbors': 15}
