1 {'learning_rate': 0.005399813503778921, 'max_depth': 9, 'n_estimators': 100}
2 {'learning_rate': 0.009212259770508513, 'max_depth': 9, 'n_estimators': 50}
3 {'learning_rate': 0.005825522307350478, 'max_depth': 7, 'n_estimators': 200}
4 {'learning_rate': 0.0001074677351961406, 'max_depth': 9, 'n_estimators': 200}
5 {'learning_rate': 0.002125427747079157, 'max_depth': 9, 'n_estimators': 100}
6 {'learning_rate': 0.006538433334018131, 'max_depth': 5, 'n_estimators': 100}
7 {'learning_rate': 0.008842347807845345, 'max_depth': 5, 'n_estimators': 200}
8 {'learning_rate': 0.006584200549132725, 'max_depth': 9, 'n_estimators': 200}
9 {'learning_rate': 0.008989003487953928, 'max_depth': 9, 'n_estimators': 100}
10 {'learning_rate': 0.00577584815332436, 'max_depth': 8, 'n_estimators': 100}
11 {'learning_rate': 0.002994818294713928, 'max_depth': 9, 'n_estimators': 50}
12 {'learning_rate': 0.00989348687172212, 'max_depth': 6, 'n_estimators': 200}
13 {'learning_rate': 0.009176383805406061, 'max_depth': 8, 'n_estimators': 50}
14 {'learning_rate': 0.004619538352034248, 'max_depth': 8, 'n_estimators': 200}
15 {'learning_rate': 0.008336952714397496, 'max_depth': 7, 'n_estimators': 100}
16 {'learning_rate': 0.004103345183595966, 'max_depth': 8, 'n_estimators': 200}
17 {'learning_rate': 0.0034234767910548114, 'max_depth': 7, 'n_estimators': 200}
18 {'learning_rate': 0.007319100808547127, 'max_depth': 9, 'n_estimators': 200}
19 {'learning_rate': 0.00918892482335178, 'max_depth': 8, 'n_estimators': 100}
20 {'learning_rate': 0.003430187365704785, 'max_depth': 9, 'n_estimators': 200}
21 {'learning_rate': 0.006314847401310356, 'max_depth': 9, 'n_estimators': 100}
22 {'learning_rate': 0.006781137872420323, 'max_depth': 8, 'n_estimators': 100}
23 {'learning_rate': 0.005150131723968576, 'max_depth': 9, 'n_estimators': 50}
24 {'learning_rate': 0.008899765223109361, 'max_depth': 7, 'n_estimators': 200}
25 {'learning_rate': 0.008297404657577506, 'max_depth': 5, 'n_estimators': 200}
26 {'learning_rate': 0.004169306278286704, 'max_depth': 6, 'n_estimators': 50}
27 {'learning_rate': 0.006411407998867673, 'max_depth': 6, 'n_estimators': 100}
28 {'learning_rate': 0.0021181664305606044, 'max_depth': 7, 'n_estimators': 200}
29 {'learning_rate': 0.006437321004399684, 'max_depth': 7, 'n_estimators': 50}
30 {'learning_rate': 0.009947802420171525, 'max_depth': 7, 'n_estimators': 200}
