1 {'C': 463.50083847760834, 'gamma': 0.000479097219898748, 'kernel': 'rbf'}
2 {'C': 103.83212010807173, 'gamma': 0.0007190078695022814, 'kernel': 'rbf'}
3 {'C': 217.11888293906478, 'gamma': 0.0003521597259567445, 'kernel': 'rbf'}
4 {'C': 6.7420487979064125, 'gamma': 0.0009399768693111682, 'kernel': 'rbf'}
5 {'C': 22.968566391923158, 'gamma': 0.0009444148337628647, 'kernel': 'rbf'}
6 {'C': 119.16411108914852, 'gamma': 0.00025443084184819097, 'kernel': 'rbf'}
7 {'C': 94.06971866797231, 'gamma': 0.0009572179757975752, 'kernel': 'rbf'}
8 {'C': 411.28636902141136, 'gamma': 0.00028357659236972734, 'kernel': 'rbf'}
9 {'C': 822.0029552020978, 'gamma': 0.0002328133579238109, 'kernel': 'rbf'}
10 {'C': 530.0757295313015, 'gamma': 0.00011375981535273575, 'kernel': 'rbf'}
11 {'C': 94.21596129348862, 'gamma': 0.0009780824287947546, 'kernel': 'rbf'}
12 {'C': 186.42396870171493, 'gamma': 0.00011499890054446365, 'kernel': 'linear'}
13 {'C': 3.4659846237912375, 'gamma': 0.0004155805144493707, 'kernel': 'rbf'}
14 {'C': 876.9367519148049, 'gamma': 0.0001968717663275059, 'kernel': 'rbf'}
15 {'C': 288.93928038949883, 'gamma': 0.0007512276647875531, 'kernel': 'rbf'}
16 {'C': 669.6444919537798, 'gamma': 0.000340379701692206, 'kernel': 'rbf'}
17 {'C': 644.2802995751777, 'gamma': 0.0005109196255009208, 'kernel': 'rbf'}
18 {'C': 511.1886427448141, 'gamma': 0.0005627433903394682, 'kernel': 'rbf'}
19 {'C': 6.766317137771169, 'gamma': 0.000227302688412112, 'kernel': 'rbf'}
20 {'C': 1.4628670054076767, 'gamma': 0.0002689866348528165, 'kernel': 'linear'}
21 {'C': 128.29047807812836, 'gamma': 0.00023472869219186054, 'kernel': 'rbf'}
22 {'C': 48.99331245511493, 'gamma': 0.0002908376226309224, 'kernel': 'rbf'}
23 {'C': 781.3646740939046, 'gamma': 0.00015442844008880702, 'kernel': 'rbf'}
24 {'C': 50.16071790563007, 'gamma': 0.00014520019825197398, 'kernel': 'rbf'}
25 {'C': 2.2652174142208916, 'gamma': 0.0004828827793807128, 'kernel': 'rbf'}
26 {'C': 97.71978889429853, 'gamma': 0.0007780838328517545, 'kernel': 'rbf'}
27 {'C': 733.73993970996, 'gamma': 0.000516116267056263, 'kernel': 'rbf'}
28 {'C': 30.01230201806701, 'gamma': 0.0007738630096541315, 'kernel': 'rbf'}
29 {'C': 180.83383378689055, 'gamma': 0.0006854278866667598, 'kernel': 'rbf'}
30 {'C': 795.7219753726355, 'gamma': 0.0005253654138112659, 'kernel': 'rbf'}
