1 {'weights': 'uniform', 'n_neighbors': 50}
2 {'weights': 'distance', 'n_neighbors': 50}
3 {'weights': 'uniform', 'n_neighbors': 15}
4 {'weights': 'distance', 'n_neighbors': 50}
5 {'weights': 'uniform', 'n_neighbors': 10}
6 {'weights': 'uniform', 'n_neighbors': 50}
7 {'weights': 'distance', 'n_neighbors': 10}
8 {'weights': 'uniform', 'n_neighbors': 50}
9 {'weights': 'uniform', 'n_neighbors': 50}
10 {'weights': 'uniform', 'n_neighbors': 10}
11 {'weights': 'uniform', 'n_neighbors': 50}
12 {'weights': 'distance', 'n_neighbors': 50}
13 {'weights': 'distance', 'n_neighbors': 50}
14 {'weights': 'uniform', 'n_neighbors': 7}
15 {'weights': 'distance', 'n_neighbors': 15}
16 {'weights': 'uniform', 'n_neighbors': 50}
17 {'weights': 'distance', 'n_neighbors': 50}
18 {'weights': 'uniform', 'n_neighbors': 50}
19 {'weights': 'uniform', 'n_neighbors': 50}
20 {'weights': 'uniform', 'n_neighbors': 15}
21 {'weights': 'uniform', 'n_neighbors': 50}
22 {'weights': 'uniform', 'n_neighbors': 15}
23 {'weights': 'uniform', 'n_neighbors': 15}
24 {'weights': 'uniform', 'n_neighbors': 50}
25 {'weights': 'distance', 'n_neighbors': 50}
26 {'weights': 'distance', 'n_neighbors': 15}
27 {'weights': 'uniform', 'n_neighbors': 50}
28 {'weights': 'distance', 'n_neighbors': 15}
29 {'weights': 'distance', 'n_neighbors': 50}
30 {'weights': 'distance', 'n_neighbors': 50}
