1 {'C': 12.555382233246387, 'gamma': 0.0005885373528576482, 'kernel': 'rbf'}
2 {'C': 9.927963377309815, 'gamma': 0.00013957616991567577, 'kernel': 'rbf'}
3 {'C': 20.1154059290297, 'gamma': 0.00013810132478069432, 'kernel': 'rbf'}
4 {'C': 728.089359049494, 'gamma': 0.00029281055161247874, 'kernel': 'rbf'}
5 {'C': 388.4032072753019, 'gamma': 0.0002949733545102753, 'kernel': 'rbf'}
6 {'C': 654.6787916472033, 'gamma': 0.0009219537731725021, 'kernel': 'rbf'}
7 {'C': 74.96998410399799, 'gamma': 0.0002955790695695583, 'kernel': 'rbf'}
8 {'C': 14.450193341766143, 'gamma': 0.000256548344302232, 'kernel': 'rbf'}
9 {'C': 181.70855393951013, 'gamma': 0.00020715692733926647, 'kernel': 'rbf'}
10 {'C': 28.91330850746454, 'gamma': 0.00010214544795233132, 'kernel': 'rbf'}
11 {'C': 7.106137733619966, 'gamma': 0.0007921191202230505, 'kernel': 'rbf'}
12 {'C': 2.2680638777626676, 'gamma': 0.000698729260103263, 'kernel': 'rbf'}
13 {'C': 24.1501773926732, 'gamma': 0.0009791608018865576, 'kernel': 'linear'}
14 {'C': 1.2165071961878162, 'gamma': 0.00023320425512558668, 'kernel': 'linear'}
15 {'C': 44.73277121209605, 'gamma': 0.00012062820981520769, 'kernel': 'rbf'}
16 {'C': 7.4724890770247105, 'gamma': 0.0003284039479244031, 'kernel': 'rbf'}
17 {'C': 4.2796515167094045, 'gamma': 0.0008526780085048284, 'kernel': 'linear'}
18 {'C': 9.257695581459341, 'gamma': 0.00035563250679050234, 'kernel': 'linear'}
19 {'C': 190.67902974196647, 'gamma': 0.0005018084142230597, 'kernel': 'rbf'}
20 {'C': 152.1589678086987, 'gamma': 0.00048609081327897645, 'kernel': 'rbf'}
21 {'C': 5.255742402434962, 'gamma': 0.0007679552994214893, 'kernel': 'rbf'}
22 {'C': 53.109009071238724, 'gamma': 0.0009012419558750035, 'kernel': 'rbf'}
23 {'C': 694.9447226000837, 'gamma': 0.0003013426339068237, 'kernel': 'rbf'}
24 {'C': 319.1252605564488, 'gamma': 0.00044983851086507977, 'kernel': 'linear'}
25 {'C': 838.5809588572322, 'gamma': 0.0007421943179286606, 'kernel': 'rbf'}
26 {'C': 208.5216891979116, 'gamma': 0.00013683151062899852, 'kernel': 'linear'}
27 {'C': 281.1907548653228, 'gamma': 0.0007491464669691968, 'kernel': 'rbf'}
28 {'C': 715.0785853854461, 'gamma': 0.0005570742182455794, 'kernel': 'rbf'}
29 {'C': 6.090303215691403, 'gamma': 0.00041557567668948353, 'kernel': 'linear'}
30 {'C': 7.817538490925116, 'gamma': 0.00046501456475411384, 'kernel': 'rbf'}
