1 {'weights': 'distance', 'n_neighbors': 7}
2 {'weights': 'distance', 'n_neighbors': 3}
3 {'weights': 'distance', 'n_neighbors': 5}
4 {'weights': 'distance', 'n_neighbors': 5}
5 {'weights': 'distance', 'n_neighbors': 3}
6 {'weights': 'distance', 'n_neighbors': 10}
7 {'weights': 'distance', 'n_neighbors': 5}
8 {'weights': 'distance', 'n_neighbors': 5}
9 {'weights': 'distance', 'n_neighbors': 5}
10 {'weights': 'distance', 'n_neighbors': 10}
11 {'weights': 'distance', 'n_neighbors': 7}
12 {'weights': 'distance', 'n_neighbors': 15}
13 {'weights': 'distance', 'n_neighbors': 3}
14 {'weights': 'distance', 'n_neighbors': 3}
15 {'weights': 'distance', 'n_neighbors': 7}
16 {'weights': 'distance', 'n_neighbors': 3}
17 {'weights': 'distance', 'n_neighbors': 10}
18 {'weights': 'distance', 'n_neighbors': 5}
19 {'weights': 'distance', 'n_neighbors': 7}
20 {'weights': 'distance', 'n_neighbors': 3}
21 {'weights': 'distance', 'n_neighbors': 10}
22 {'weights': 'distance', 'n_neighbors': 7}
23 {'weights': 'distance', 'n_neighbors': 5}
24 {'weights': 'distance', 'n_neighbors': 3}
25 {'weights': 'distance', 'n_neighbors': 7}
26 {'weights': 'distance', 'n_neighbors': 10}
27 {'weights': 'distance', 'n_neighbors': 3}
28 {'weights': 'distance', 'n_neighbors': 3}
29 {'weights': 'distance', 'n_neighbors': 10}
30 {'weights': 'distance', 'n_neighbors': 3}
