1 {'learning_rate': 0.0021524977339531606, 'max_depth': 5, 'n_estimators': 50}
2 {'learning_rate': 0.004174483543975906, 'max_depth': 7, 'n_estimators': 100}
3 {'learning_rate': 0.004860945140777978, 'max_depth': 8, 'n_estimators': 200}
4 {'learning_rate': 0.008143320475044053, 'max_depth': 4, 'n_estimators': 200}
5 {'learning_rate': 0.007855571383319144, 'max_depth': 8, 'n_estimators': 100}
6 {'learning_rate': 0.005001163494557469, 'max_depth': 5, 'n_estimators': 200}
7 {'learning_rate': 0.0014831385067576666, 'max_depth': 8, 'n_estimators': 100}
8 {'learning_rate': 0.001765723137173929, 'max_depth': 7, 'n_estimators': 200}
9 {'learning_rate': 0.009203887872821944, 'max_depth': 8, 'n_estimators': 100}
10 {'learning_rate': 0.009907460241554235, 'max_depth': 5, 'n_estimators': 200}
11 {'learning_rate': 0.005194499458937072, 'max_depth': 6, 'n_estimators': 200}
12 {'learning_rate': 0.009757588594745474, 'max_depth': 6, 'n_estimators': 100}
13 {'learning_rate': 0.008898341242329624, 'max_depth': 4, 'n_estimators': 200}
14 {'learning_rate': 0.009670754208942046, 'max_depth': 4, 'n_estimators': 200}
15 {'learning_rate': 0.0038225023438923, 'max_depth': 8, 'n_estimators': 200}
16 {'learning_rate': 0.00780964110783945, 'max_depth': 3, 'n_estimators': 200}
17 {'learning_rate': 0.004502361881572503, 'max_depth': 9, 'n_estimators': 200}
18 {'learning_rate': 0.004392037407191731, 'max_depth': 6, 'n_estimators': 200}
19 {'learning_rate': 0.000337245813334809, 'max_depth': 4, 'n_estimators': 50}
20 {'learning_rate': 0.00830304604943031, 'max_depth': 6, 'n_estimators': 200}
21 {'learning_rate': 0.008079734941093476, 'max_depth': 9, 'n_estimators': 100}
22 {'learning_rate': 0.0008676874112035121, 'max_depth': 5, 'n_estimators': 200}
23 {'learning_rate': 0.0024858747305021222, 'max_depth': 9, 'n_estimators': 200}
24 {'learning_rate': 0.003857518843591529, 'max_depth': 8, 'n_estimators': 200}
25 {'learning_rate': 0.00927900149163849, 'max_depth': 6, 'n_estimators': 200}
26 {'learning_rate': 0.001720128193763035, 'max_depth': 9, 'n_estimators': 200}
27 {'learning_rate': 0.007543248503757794, 'max_depth': 7, 'n_estimators': 100}
28 {'learning_rate': 0.006834525440405556, 'max_depth': 6, 'n_estimators': 200}
29 {'learning_rate': 0.009940740213155724, 'max_depth': 3, 'n_estimators': 200}
30 {'learning_rate': 0.008650325594945973, 'max_depth': 9, 'n_estimators': 200}
