1 {'C': 527.1182708381939, 'gamma': 0.0006038610291405657, 'kernel': 'rbf'}
2 {'C': 83.93625320051666, 'gamma': 0.00044984910087239865, 'kernel': 'rbf'}
3 {'C': 129.27698563789602, 'gamma': 0.0007875976367442195, 'kernel': 'rbf'}
4 {'C': 270.79318974903106, 'gamma': 0.0005857627882133936, 'kernel': 'rbf'}
5 {'C': 46.2003438967357, 'gamma': 0.0002785481369155893, 'kernel': 'rbf'}
6 {'C': 247.41774032623613, 'gamma': 0.00018672983808256746, 'kernel': 'rbf'}
7 {'C': 85.28419540339232, 'gamma': 0.00013772134031443645, 'kernel': 'linear'}
8 {'C': 1.6462640835517892, 'gamma': 0.00012343798032351516, 'kernel': 'linear'}
9 {'C': 490.1703497721582, 'gamma': 0.0001548608278159474, 'kernel': 'linear'}
10 {'C': 106.91282111261555, 'gamma': 0.0007081804092703904, 'kernel': 'rbf'}
11 {'C': 2.0074679717437656, 'gamma': 0.0005532864010195286, 'kernel': 'linear'}
12 {'C': 703.2418761818086, 'gamma': 0.0005820359202351167, 'kernel': 'rbf'}
13 {'C': 95.06845937187502, 'gamma': 0.0007960990625156036, 'kernel': 'rbf'}
14 {'C': 107.71230652273121, 'gamma': 0.0008997337959968384, 'kernel': 'rbf'}
15 {'C': 217.17655090219333, 'gamma': 0.00068736894752538, 'kernel': 'rbf'}
16 {'C': 436.8121179694284, 'gamma': 0.0008964724722874207, 'kernel': 'rbf'}
17 {'C': 436.57932512497183, 'gamma': 0.0005305242621165687, 'kernel': 'rbf'}
18 {'C': 967.250314690799, 'gamma': 0.0003031323495778782, 'kernel': 'rbf'}
19 {'C': 74.77179326406225, 'gamma': 0.0001269378345865172, 'kernel': 'linear'}
20 {'C': 11.579013701407447, 'gamma': 0.0008319503509261005, 'kernel': 'linear'}
21 {'C': 310.270512154554, 'gamma': 0.0003156151646002816, 'kernel': 'rbf'}
22 {'C': 100.80935642603148, 'gamma': 0.000978075578275894, 'kernel': 'rbf'}
23 {'C': 3.6507754112456667, 'gamma': 0.00099602029697367, 'kernel': 'rbf'}
24 {'C': 84.23537643129455, 'gamma': 0.00020695880031862553, 'kernel': 'linear'}
25 {'C': 6.029362298530239, 'gamma': 0.0003385136270220854, 'kernel': 'rbf'}
26 {'C': 179.3756749264253, 'gamma': 0.0007702026419423053, 'kernel': 'rbf'}
27 {'C': 708.2593921288416, 'gamma': 0.0006501309456269401, 'kernel': 'rbf'}
28 {'C': 145.96911762139842, 'gamma': 0.0007985028229437459, 'kernel': 'rbf'}
29 {'C': 344.433899628747, 'gamma': 0.0006435154634003555, 'kernel': 'rbf'}
30 {'C': 114.59449301337226, 'gamma': 0.0005519588295208516, 'kernel': 'rbf'}
