1 {'weights': 'distance', 'n_neighbors': 3}
2 {'weights': 'distance', 'n_neighbors': 3}
3 {'weights': 'distance', 'n_neighbors': 3}
4 {'weights': 'distance', 'n_neighbors': 5}
5 {'weights': 'distance', 'n_neighbors': 3}
6 {'weights': 'distance', 'n_neighbors': 15}
7 {'weights': 'distance', 'n_neighbors': 7}
8 {'weights': 'distance', 'n_neighbors': 5}
9 {'weights': 'distance', 'n_neighbors': 5}
10 {'weights': 'distance', 'n_neighbors': 3}
11 {'weights': 'distance', 'n_neighbors': 5}
12 {'weights': 'distance', 'n_neighbors': 3}
13 {'weights': 'distance', 'n_neighbors': 5}
14 {'weights': 'distance', 'n_neighbors': 10}
15 {'weights': 'distance', 'n_neighbors': 3}
16 {'weights': 'distance', 'n_neighbors': 5}
17 {'weights': 'distance', 'n_neighbors': 10}
18 {'weights': 'distance', 'n_neighbors': 15}
19 {'weights': 'distance', 'n_neighbors': 3}
20 {'weights': 'distance', 'n_neighbors': 10}
21 {'weights': 'distance', 'n_neighbors': 3}
22 {'weights': 'distance', 'n_neighbors': 3}
23 {'weights': 'distance', 'n_neighbors': 5}
24 {'weights': 'distance', 'n_neighbors': 15}
25 {'weights': 'distance', 'n_neighbors': 3}
26 {'weights': 'distance', 'n_neighbors': 7}
27 {'weights': 'distance', 'n_neighbors': 10}
28 {'weights': 'distance', 'n_neighbors': 7}
29 {'weights': 'distance', 'n_neighbors': 5}
30 {'weights': 'distance', 'n_neighbors': 5}
