1 {'learning_rate': 0.007626064973298749, 'max_depth': 7, 'n_estimators': 100}
2 {'learning_rate': 0.00713864535942487, 'max_depth': 3, 'n_estimators': 200}
3 {'learning_rate': 0.009913375374559994, 'max_depth': 9, 'n_estimators': 200}
4 {'learning_rate': 0.009253674697689394, 'max_depth': 7, 'n_estimators': 200}
5 {'learning_rate': 0.005321981981574376, 'max_depth': 7, 'n_estimators': 200}
6 {'learning_rate': 0.0066734379623451835, 'max_depth': 6, 'n_estimators': 200}
7 {'learning_rate': 0.0012733035948803513, 'max_depth': 7, 'n_estimators': 100}
8 {'learning_rate': 0.006837734184111565, 'max_depth': 4, 'n_estimators': 100}
9 {'learning_rate': 0.006832170083746462, 'max_depth': 7, 'n_estimators': 200}
10 {'learning_rate': 0.003573681208817408, 'max_depth': 6, 'n_estimators': 200}
11 {'learning_rate': 0.0026098999721544947, 'max_depth': 5, 'n_estimators': 200}
12 {'learning_rate': 0.004478062919557728, 'max_depth': 3, 'n_estimators': 200}
13 {'learning_rate': 0.00557573408567737, 'max_depth': 9, 'n_estimators': 200}
14 {'learning_rate': 0.002424688132433913, 'max_depth': 9, 'n_estimators': 200}
15 {'learning_rate': 0.003780940107129391, 'max_depth': 4, 'n_estimators': 200}
16 {'learning_rate': 0.004269287056466036, 'max_depth': 7, 'n_estimators': 200}
17 {'learning_rate': 0.006168128410118549, 'max_depth': 8, 'n_estimators': 200}
18 {'learning_rate': 0.006986411158227509, 'max_depth': 8, 'n_estimators': 100}
19 {'learning_rate': 0.0008736207099186953, 'max_depth': 3, 'n_estimators': 50}
20 {'learning_rate': 0.00857469490524105, 'max_depth': 8, 'n_estimators': 100}
21 {'learning_rate': 0.0031989177889825814, 'max_depth': 4, 'n_estimators': 200}
22 {'learning_rate': 0.00026486417385772966, 'max_depth': 7, 'n_estimators': 200}
23 {'learning_rate': 0.009573553605737112, 'max_depth': 6, 'n_estimators': 50}
24 {'learning_rate': 0.009517542452297925, 'max_depth': 7, 'n_estimators': 50}
25 {'learning_rate': 0.0076499209177598206, 'max_depth': 7, 'n_estimators': 50}
26 {'learning_rate': 0.005521877997009741, 'max_depth': 5, 'n_estimators': 100}
27 {'learning_rate': 0.004392136264199597, 'max_depth': 6, 'n_estimators': 200}
28 {'learning_rate': 0.0063070234581050835, 'max_depth': 4, 'n_estimators': 200}
29 {'learning_rate': 0.007804973743717165, 'max_depth': 9, 'n_estimators': 200}
30 {'learning_rate': 0.0009447130159871487, 'max_depth': 6, 'n_estimators': 100}
