1 {'C': 434.4816979289645, 'gamma': 0.0003277393041946171, 'kernel': 'rbf'}
2 {'C': 23.287392527088837, 'gamma': 0.0007316649941977472, 'kernel': 'rbf'}
3 {'C': 7.979232604974332, 'gamma': 0.00013689755306660806, 'kernel': 'rbf'}
4 {'C': 316.1567716122769, 'gamma': 0.0009671403814143244, 'kernel': 'rbf'}
5 {'C': 223.3932341359917, 'gamma': 0.0006073620123489583, 'kernel': 'linear'}
6 {'C': 170.7007696485881, 'gamma': 0.00045364925386838896, 'kernel': 'rbf'}
7 {'C': 56.60370410672807, 'gamma': 0.0005982977184108718, 'kernel': 'linear'}
8 {'C': 523.3804736444914, 'gamma': 0.0007565086207707739, 'kernel': 'rbf'}
9 {'C': 178.3503714924267, 'gamma': 0.0001338168516907614, 'kernel': 'linear'}
10 {'C': 425.1344256644113, 'gamma': 0.000480730716754539, 'kernel': 'rbf'}
11 {'C': 361.7342441581434, 'gamma': 0.00024632332792017854, 'kernel': 'linear'}
12 {'C': 19.12912930358644, 'gamma': 0.000402233912065853, 'kernel': 'linear'}
13 {'C': 591.6805528554999, 'gamma': 0.00040636130413560423, 'kernel': 'rbf'}
14 {'C': 597.2425304457702, 'gamma': 0.0005506716595408131, 'kernel': 'rbf'}
15 {'C': 130.8886682222273, 'gamma': 0.0003428503673732941, 'kernel': 'rbf'}
16 {'C': 512.607694674984, 'gamma': 0.0009471457863533725, 'kernel': 'rbf'}
17 {'C': 99.16775589071084, 'gamma': 0.0009325522799396432, 'kernel': 'rbf'}
18 {'C': 944.2481421858438, 'gamma': 0.00020579752956433663, 'kernel': 'rbf'}
19 {'C': 477.71728965343925, 'gamma': 0.0005761132249020379, 'kernel': 'linear'}
20 {'C': 392.62268362062946, 'gamma': 0.0003703584542879841, 'kernel': 'rbf'}
21 {'C': 328.08470345279034, 'gamma': 0.0009820006028407157, 'kernel': 'linear'}
22 {'C': 6.089452462958027, 'gamma': 0.0005775588474088752, 'kernel': 'rbf'}
23 {'C': 752.403128106651, 'gamma': 0.00023548627536054917, 'kernel': 'rbf'}
24 {'C': 310.45660617306726, 'gamma': 0.0007143456910334777, 'kernel': 'linear'}
25 {'C': 171.25514805429458, 'gamma': 0.0006337316080286591, 'kernel': 'rbf'}
26 {'C': 66.70482796288537, 'gamma': 0.0009415861578686078, 'kernel': 'rbf'}
27 {'C': 365.23560386665474, 'gamma': 0.0005857427745446982, 'kernel': 'rbf'}
28 {'C': 454.99731777139374, 'gamma': 0.0002780212312923186, 'kernel': 'rbf'}
29 {'C': 389.4592907688445, 'gamma': 0.0009334179229980864, 'kernel': 'rbf'}
30 {'C': 11.827941162842304, 'gamma': 0.00025239666228207445, 'kernel': 'rbf'}
