1 {'learning_rate': 0.000922582784628232, 'max_depth': 6, 'n_estimators': 200}
2 {'learning_rate': 0.005687422778255938, 'max_depth': 5, 'n_estimators': 200}
3 {'learning_rate': 0.008688862764641384, 'max_depth': 7, 'n_estimators': 200}
4 {'learning_rate': 0.002271198701953319, 'max_depth': 4, 'n_estimators': 100}
5 {'learning_rate': 0.0002087319264427281, 'max_depth': 8, 'n_estimators': 50}
6 {'learning_rate': 0.0053572460688129, 'max_depth': 6, 'n_estimators': 200}
7 {'learning_rate': 0.004276719079342922, 'max_depth': 8, 'n_estimators': 50}
8 {'learning_rate': 0.002433878310477509, 'max_depth': 9, 'n_estimators': 50}
9 {'learning_rate': 0.006490673154360826, 'max_depth': 7, 'n_estimators': 200}
10 {'learning_rate': 0.00765164762515154, 'max_depth': 8, 'n_estimators': 100}
11 {'learning_rate': 0.0004924272481208142, 'max_depth': 7, 'n_estimators': 200}
12 {'learning_rate': 0.001184231081986213, 'max_depth': 9, 'n_estimators': 100}
13 {'learning_rate': 0.0032143291536949605, 'max_depth': 9, 'n_estimators': 200}
14 {'learning_rate': 0.0003242873203390045, 'max_depth': 9, 'n_estimators': 200}
15 {'learning_rate': 0.003545300764015027, 'max_depth': 9, 'n_estimators': 100}
16 {'learning_rate': 0.0009189778723192019, 'max_depth': 7, 'n_estimators': 100}
17 {'learning_rate': 0.007628527378836107, 'max_depth': 7, 'n_estimators': 100}
18 {'learning_rate': 0.0019311113113422804, 'max_depth': 8, 'n_estimators': 50}
19 {'learning_rate': 0.009770259174377236, 'max_depth': 8, 'n_estimators': 100}
20 {'learning_rate': 0.005739358545676637, 'max_depth': 7, 'n_estimators': 100}
21 {'learning_rate': 0.009745127013618148, 'max_depth': 9, 'n_estimators': 200}
22 {'learning_rate': 0.003422355417415564, 'max_depth': 8, 'n_estimators': 100}
23 {'learning_rate': 0.0038821997310704505, 'max_depth': 7, 'n_estimators': 100}
24 {'learning_rate': 0.004473071551784957, 'max_depth': 7, 'n_estimators': 100}
25 {'learning_rate': 0.008060691555299378, 'max_depth': 8, 'n_estimators': 200}
26 {'learning_rate': 0.004607627230827644, 'max_depth': 6, 'n_estimators': 200}
27 {'learning_rate': 0.002498473314185768, 'max_depth': 9, 'n_estimators': 200}
28 {'learning_rate': 0.003204641956354631, 'max_depth': 5, 'n_estimators': 100}
29 {'learning_rate': 0.007786219041919378, 'max_depth': 8, 'n_estimators': 200}
30 {'learning_rate': 0.004675883338290987, 'max_depth': 8, 'n_estimators': 200}
