1 {'C': 100.5026987758924, 'gamma': 0.000986480955865682, 'kernel': 'rbf'}
2 {'C': 250.40258335782806, 'gamma': 0.00021414856711832677, 'kernel': 'linear'}
3 {'C': 80.29326550865287, 'gamma': 0.00030710002212172566, 'kernel': 'linear'}
4 {'C': 321.8260280318472, 'gamma': 0.0003300905266351376, 'kernel': 'rbf'}
5 {'C': 520.4439109146399, 'gamma': 0.0002128949557557915, 'kernel': 'linear'}
6 {'C': 853.5078769108172, 'gamma': 0.0003640792270921459, 'kernel': 'linear'}
7 {'C': 396.2589372246763, 'gamma': 0.00028222462630992675, 'kernel': 'rbf'}
8 {'C': 828.3887500790689, 'gamma': 0.000906499664675914, 'kernel': 'rbf'}
9 {'C': 750.2439121089453, 'gamma': 0.0005055475592482738, 'kernel': 'linear'}
10 {'C': 916.1443033968711, 'gamma': 0.0002681107957695251, 'kernel': 'linear'}
11 {'C': 66.92623189978502, 'gamma': 0.0009148906597780901, 'kernel': 'rbf'}
12 {'C': 218.860746830441, 'gamma': 0.0005708108980788622, 'kernel': 'rbf'}
13 {'C': 403.5613456728916, 'gamma': 0.00015035602779225898, 'kernel': 'linear'}
14 {'C': 392.9616320282034, 'gamma': 0.0008994414762332813, 'kernel': 'rbf'}
15 {'C': 673.7074963582962, 'gamma': 0.0003375057076212032, 'kernel': 'rbf'}
16 {'C': 175.70328907245872, 'gamma': 0.0006975432693775012, 'kernel': 'linear'}
17 {'C': 950.0957993959867, 'gamma': 0.00048241698821824237, 'kernel': 'rbf'}
18 {'C': 105.42642017371968, 'gamma': 0.00021946006811550693, 'kernel': 'linear'}
19 {'C': 226.12306613733037, 'gamma': 0.0007614097535722345, 'kernel': 'rbf'}
20 {'C': 278.58073048592775, 'gamma': 0.00010242964945049838, 'kernel': 'linear'}
21 {'C': 764.5196433416625, 'gamma': 0.0009310427526563647, 'kernel': 'rbf'}
22 {'C': 394.3032967493099, 'gamma': 0.0006944092267503199, 'kernel': 'rbf'}
23 {'C': 174.2244310080989, 'gamma': 0.0006453719271832283, 'kernel': 'rbf'}
24 {'C': 792.5985329410834, 'gamma': 0.00036706035715032207, 'kernel': 'rbf'}
25 {'C': 252.81418932067524, 'gamma': 0.0006213670290651388, 'kernel': 'linear'}
26 {'C': 718.458327399918, 'gamma': 0.0005345295486379772, 'kernel': 'rbf'}
27 {'C': 18.190991521132844, 'gamma': 0.0003522098624900708, 'kernel': 'linear'}
28 {'C': 500.4460647344097, 'gamma': 0.0006242170661197214, 'kernel': 'linear'}
29 {'C': 151.16164195573822, 'gamma': 0.00011013557616375936, 'kernel': 'linear'}
30 {'C': 725.1855604698965, 'gamma': 0.0008667456960314082, 'kernel': 'rbf'}
