1 {'weights': 'distance', 'n_neighbors': 7}
2 {'weights': 'distance', 'n_neighbors': 5}
3 {'weights': 'uniform', 'n_neighbors': 50}
4 {'weights': 'distance', 'n_neighbors': 10}
5 {'weights': 'uniform', 'n_neighbors': 7}
6 {'weights': 'distance', 'n_neighbors': 15}
7 {'weights': 'uniform', 'n_neighbors': 5}
8 {'weights': 'uniform', 'n_neighbors': 5}
9 {'weights': 'distance', 'n_neighbors': 5}
10 {'weights': 'uniform', 'n_neighbors': 7}
11 {'weights': 'uniform', 'n_neighbors': 50}
12 {'weights': 'distance', 'n_neighbors': 15}
13 {'weights': 'distance', 'n_neighbors': 10}
14 {'weights': 'uniform', 'n_neighbors': 7}
15 {'weights': 'uniform', 'n_neighbors': 50}
16 {'weights': 'uniform', 'n_neighbors': 50}
17 {'weights': 'distance', 'n_neighbors': 15}
18 {'weights': 'distance', 'n_neighbors': 7}
19 {'weights': 'uniform', 'n_neighbors': 3}
20 {'weights': 'distance', 'n_neighbors': 5}
21 {'weights': 'uniform', 'n_neighbors': 50}
22 {'weights': 'distance', 'n_neighbors': 50}
23 {'weights': 'uniform', 'n_neighbors': 7}
24 {'weights': 'uniform', 'n_neighbors': 15}
25 {'weights': 'distance', 'n_neighbors': 15}
26 {'weights': 'distance', 'n_neighbors': 10}
27 {'weights': 'uniform', 'n_neighbors': 5}
28 {'weights': 'distance', 'n_neighbors': 50}
29 {'weights': 'distance', 'n_neighbors': 50}
30 {'weights': 'distance', 'n_neighbors': 50}
