1 {'learning_rate': 0.0019048767796003053, 'max_depth': 7, 'n_estimators': 50}
2 {'learning_rate': 0.00011089937155242047, 'max_depth': 6, 'n_estimators': 50}
3 {'learning_rate': 0.0004032902008070208, 'max_depth': 6, 'n_estimators': 200}
4 {'learning_rate': 0.001701595288444273, 'max_depth': 7, 'n_estimators': 200}
5 {'learning_rate': 0.005885634981752412, 'max_depth': 7, 'n_estimators': 200}
6 {'learning_rate': 0.002455615015592155, 'max_depth': 3, 'n_estimators': 100}
7 {'learning_rate': 0.005609502540882484, 'max_depth': 6, 'n_estimators': 100}
8 {'learning_rate': 0.008355299941985975, 'max_depth': 4, 'n_estimators': 200}
9 {'learning_rate': 0.004544098552309188, 'max_depth': 3, 'n_estimators': 100}
10 {'learning_rate': 0.008588778084727912, 'max_depth': 4, 'n_estimators': 200}
11 {'learning_rate': 0.0004677051559602542, 'max_depth': 3, 'n_estimators': 100}
12 {'learning_rate': 0.00028071508868456795, 'max_depth': 7, 'n_estimators': 200}
13 {'learning_rate': 0.0009197184555287562, 'max_depth': 8, 'n_estimators': 50}
14 {'learning_rate': 0.00026537679800616777, 'max_depth': 6, 'n_estimators': 50}
15 {'learning_rate': 0.006191442396410983, 'max_depth': 5, 'n_estimators': 200}
16 {'learning_rate': 0.006138922991738872, 'max_depth': 4, 'n_estimators': 100}
17 {'learning_rate': 0.00655526072307044, 'max_depth': 5, 'n_estimators': 200}
18 {'learning_rate': 0.003665790456198731, 'max_depth': 9, 'n_estimators': 100}
19 {'learning_rate': 0.0011437895161981908, 'max_depth': 9, 'n_estimators': 200}
20 {'learning_rate': 0.00030159726884130937, 'max_depth': 6, 'n_estimators': 100}
21 {'learning_rate': 0.00484973465392628, 'max_depth': 3, 'n_estimators': 200}
22 {'learning_rate': 0.00013269844544628448, 'max_depth': 3, 'n_estimators': 200}
23 {'learning_rate': 0.00540340344664963, 'max_depth': 8, 'n_estimators': 100}
24 {'learning_rate': 0.0005040914937417033, 'max_depth': 5, 'n_estimators': 100}
25 {'learning_rate': 0.0017228163897394415, 'max_depth': 7, 'n_estimators': 50}
26 {'learning_rate': 0.0047432832570839184, 'max_depth': 7, 'n_estimators': 200}
27 {'learning_rate': 0.009823178433253258, 'max_depth': 3, 'n_estimators': 50}
28 {'learning_rate': 0.00014651099238400682, 'max_depth': 5, 'n_estimators': 50}
29 {'learning_rate': 0.004977233157010691, 'max_depth': 6, 'n_estimators': 200}
30 {'learning_rate': 0.006442667305973035, 'max_depth': 7, 'n_estimators': 100}
