1 {'C': 120.40839371301186, 'gamma': 0.00011565714010011061, 'kernel': 'rbf'}
2 {'C': 26.72960613932299, 'gamma': 0.0003063408342442293, 'kernel': 'rbf'}
3 {'C': 16.100931747872, 'gamma': 0.0007179267356943608, 'kernel': 'rbf'}
4 {'C': 24.311350714327418, 'gamma': 0.00010956177420043125, 'kernel': 'rbf'}
5 {'C': 55.833654203102114, 'gamma': 0.0003325249266889479, 'kernel': 'linear'}
6 {'C': 11.721065877716788, 'gamma': 0.0005083936754146398, 'kernel': 'linear'}
7 {'C': 942.3719539907653, 'gamma': 0.00015681369112103177, 'kernel': 'linear'}
8 {'C': 2.065441846879458, 'gamma': 0.0008740183631363568, 'kernel': 'rbf'}
9 {'C': 99.9707562621033, 'gamma': 0.000316242288099809, 'kernel': 'rbf'}
10 {'C': 2.98267568287785, 'gamma': 0.00010129852032303007, 'kernel': 'rbf'}
11 {'C': 33.65761624853367, 'gamma': 0.0002849007033140954, 'kernel': 'rbf'}
12 {'C': 41.224233331426255, 'gamma': 0.0001028882478745022, 'kernel': 'rbf'}
13 {'C': 104.2218127031551, 'gamma': 0.0007719632251300567, 'kernel': 'rbf'}
14 {'C': 137.7221395566132, 'gamma': 0.00014269034343381684, 'kernel': 'rbf'}
15 {'C': 386.0050641514149, 'gamma': 0.00020782246888062877, 'kernel': 'linear'}
16 {'C': 7.127727687278611, 'gamma': 0.0007231049542466144, 'kernel': 'linear'}
17 {'C': 3.3247678693849805, 'gamma': 0.0005398636652915489, 'kernel': 'rbf'}
18 {'C': 117.62616665389298, 'gamma': 0.0001730230065058219, 'kernel': 'rbf'}
19 {'C': 3.2919635550408493, 'gamma': 0.00012877996916188126, 'kernel': 'linear'}
20 {'C': 37.75175899033214, 'gamma': 0.0004022463179336592, 'kernel': 'rbf'}
21 {'C': 569.0551679944414, 'gamma': 0.00034682470707011814, 'kernel': 'rbf'}
22 {'C': 217.7332026120017, 'gamma': 0.0002378650023605925, 'kernel': 'rbf'}
23 {'C': 15.745347645692297, 'gamma': 0.0007887069835910959, 'kernel': 'linear'}
24 {'C': 99.82294869714208, 'gamma': 0.00013375441721785568, 'kernel': 'linear'}
25 {'C': 12.595998672363633, 'gamma': 0.00021805022614169656, 'kernel': 'linear'}
26 {'C': 18.74513225259162, 'gamma': 0.0005597441927931186, 'kernel': 'rbf'}
27 {'C': 664.2491905344178, 'gamma': 0.00020128807210623045, 'kernel': 'linear'}
28 {'C': 84.39052934122245, 'gamma': 0.0008983328421077249, 'kernel': 'rbf'}
29 {'C': 39.53684161685905, 'gamma': 0.00016721404623652107, 'kernel': 'linear'}
30 {'C': 2.732512371499486, 'gamma': 0.00014354270022464387, 'kernel': 'rbf'}
