1 {'learning_rate': 0.005076488719568755, 'max_depth': 8, 'n_estimators': 200}
2 {'learning_rate': 0.001559628096155777, 'max_depth': 8, 'n_estimators': 100}
3 {'learning_rate': 0.005008974728787304, 'max_depth': 9, 'n_estimators': 200}
4 {'learning_rate': 0.0055274751587576975, 'max_depth': 9, 'n_estimators': 200}
5 {'learning_rate': 0.007393184256246953, 'max_depth': 8, 'n_estimators': 200}
6 {'learning_rate': 0.0003492038959181228, 'max_depth': 7, 'n_estimators': 100}
7 {'learning_rate': 0.0037224993526794236, 'max_depth': 5, 'n_estimators': 200}
8 {'learning_rate': 0.0001761828730640963, 'max_depth': 8, 'n_estimators': 200}
9 {'learning_rate': 0.00483346777494591, 'max_depth': 4, 'n_estimators': 200}
10 {'learning_rate': 0.006487282833141805, 'max_depth': 6, 'n_estimators': 100}
11 {'learning_rate': 0.00010531690951148957, 'max_depth': 9, 'n_estimators': 100}
12 {'learning_rate': 0.00011337530870090085, 'max_depth': 9, 'n_estimators': 100}
13 {'learning_rate': 0.008081455815326983, 'max_depth': 7, 'n_estimators': 50}
14 {'learning_rate': 0.00015949573158167098, 'max_depth': 7, 'n_estimators': 50}
15 {'learning_rate': 0.003190724933532075, 'max_depth': 9, 'n_estimators': 100}
16 {'learning_rate': 0.003806950332910436, 'max_depth': 8, 'n_estimators': 200}
17 {'learning_rate': 0.0018296233417737947, 'max_depth': 9, 'n_estimators': 200}
18 {'learning_rate': 0.008024615793356176, 'max_depth': 5, 'n_estimators': 200}
19 {'learning_rate': 0.00011965515878217674, 'max_depth': 8, 'n_estimators': 200}
20 {'learning_rate': 0.003063915855175483, 'max_depth': 6, 'n_estimators': 200}
21 {'learning_rate': 0.000497891878424789, 'max_depth': 9, 'n_estimators': 50}
22 {'learning_rate': 0.008894152609887976, 'max_depth': 4, 'n_estimators': 200}
23 {'learning_rate': 0.008360987772517208, 'max_depth': 8, 'n_estimators': 200}
24 {'learning_rate': 0.005325722882595345, 'max_depth': 8, 'n_estimators': 100}
25 {'learning_rate': 0.005836078221903872, 'max_depth': 7, 'n_estimators': 100}
26 {'learning_rate': 0.001441486321734757, 'max_depth': 8, 'n_estimators': 100}
27 {'learning_rate': 0.00973680172935323, 'max_depth': 7, 'n_estimators': 200}
28 {'learning_rate': 0.00937241205644595, 'max_depth': 6, 'n_estimators': 200}
29 {'learning_rate': 0.005605301569316011, 'max_depth': 9, 'n_estimators': 200}
30 {'learning_rate': 0.002164003987768749, 'max_depth': 8, 'n_estimators': 200}
