1 {'C': 17.358092016926083, 'gamma': 0.0006458220143680513, 'kernel': 'linear'}
2 {'C': 578.3854465549465, 'gamma': 0.000823350260188197, 'kernel': 'rbf'}
3 {'C': 165.55339281945845, 'gamma': 0.0005621091558146837, 'kernel': 'linear'}
4 {'C': 975.3367416503223, 'gamma': 0.0007755881696942367, 'kernel': 'rbf'}
5 {'C': 54.7976261605983, 'gamma': 0.0008348481036134193, 'kernel': 'linear'}
6 {'C': 11.546782978682216, 'gamma': 0.00015274270576615183, 'kernel': 'linear'}
7 {'C': 683.5610621963427, 'gamma': 0.0003825693904103487, 'kernel': 'linear'}
8 {'C': 506.9983944438553, 'gamma': 0.00044762076197480294, 'kernel': 'linear'}
9 {'C': 980.9521752175109, 'gamma': 0.0008811410872346402, 'kernel': 'rbf'}
10 {'C': 90.86267334228909, 'gamma': 0.00038050260918337953, 'kernel': 'linear'}
11 {'C': 840.519406294114, 'gamma': 0.0004215200658393546, 'kernel': 'rbf'}
12 {'C': 51.932167607084445, 'gamma': 0.0005522230044027111, 'kernel': 'linear'}
13 {'C': 470.7649219193004, 'gamma': 0.00010664735005301015, 'kernel': 'linear'}
14 {'C': 809.6809618893406, 'gamma': 0.0006034081523716445, 'kernel': 'rbf'}
15 {'C': 446.818292114313, 'gamma': 0.0005665812782233577, 'kernel': 'linear'}
16 {'C': 727.4750757578691, 'gamma': 0.00034565182599307194, 'kernel': 'linear'}
17 {'C': 10.871770187474375, 'gamma': 0.00048748855054603243, 'kernel': 'linear'}
18 {'C': 607.905329186661, 'gamma': 0.0008021466272893232, 'kernel': 'linear'}
19 {'C': 447.97903675611803, 'gamma': 0.0006424778649945465, 'kernel': 'rbf'}
20 {'C': 566.117635521552, 'gamma': 0.0003851656766902686, 'kernel': 'linear'}
21 {'C': 20.139567498330507, 'gamma': 0.0003541737144982329, 'kernel': 'linear'}
22 {'C': 627.2324883722057, 'gamma': 0.0008792799562786273, 'kernel': 'rbf'}
23 {'C': 70.96102369665478, 'gamma': 0.0004220997254450949, 'kernel': 'linear'}
24 {'C': 811.1757810150643, 'gamma': 0.0007270484771132438, 'kernel': 'rbf'}
25 {'C': 101.6010707868822, 'gamma': 0.0005950835698681855, 'kernel': 'linear'}
26 {'C': 318.98631404059955, 'gamma': 0.0009572869856875674, 'kernel': 'linear'}
27 {'C': 982.5087414679657, 'gamma': 0.00021475110774921098, 'kernel': 'linear'}
28 {'C': 24.01723562035172, 'gamma': 0.0006371584245053573, 'kernel': 'linear'}
29 {'C': 63.669531146858986, 'gamma': 0.00014540302156012088, 'kernel': 'linear'}
30 {'C': 665.43123440466, 'gamma': 0.0002589459128541625, 'kernel': 'linear'}
