1 {'weights': 'uniform', 'n_neighbors': 10}
2 {'weights': 'distance', 'n_neighbors': 7}
3 {'weights': 'uniform', 'n_neighbors': 5}
4 {'weights': 'uniform', 'n_neighbors': 3}
5 {'weights': 'uniform', 'n_neighbors': 5}
6 {'weights': 'uniform', 'n_neighbors': 7}
7 {'weights': 'uniform', 'n_neighbors': 5}
8 {'weights': 'uniform', 'n_neighbors': 5}
9 {'weights': 'uniform', 'n_neighbors': 7}
10 {'weights': 'uniform', 'n_neighbors': 10}
11 {'weights': 'uniform', 'n_neighbors': 7}
12 {'weights': 'uniform', 'n_neighbors': 7}
13 {'weights': 'distance', 'n_neighbors': 7}
14 {'weights': 'uniform', 'n_neighbors': 5}
15 {'weights': 'distance', 'n_neighbors': 10}
16 {'weights': 'uniform', 'n_neighbors': 10}
17 {'weights': 'uniform', 'n_neighbors': 7}
18 {'weights': 'uniform', 'n_neighbors': 10}
19 {'weights': 'uniform', 'n_neighbors': 3}
20 {'weights': 'uniform', 'n_neighbors': 3}
21 {'weights': 'uniform', 'n_neighbors': 3}
22 {'weights': 'distance', 'n_neighbors': 10}
23 {'weights': 'distance', 'n_neighbors': 7}
24 {'weights': 'uniform', 'n_neighbors': 7}
25 {'weights': 'uniform', 'n_neighbors': 3}
26 {'weights': 'uniform', 'n_neighbors': 3}
27 {'weights': 'uniform', 'n_neighbors': 10}
28 {'weights': 'uniform', 'n_neighbors': 5}
29 {'weights': 'uniform', 'n_neighbors': 7}
30 {'weights': 'uniform', 'n_neighbors': 7}
