1 {'learning_rate': 0.0009244157433582425, 'max_depth': 4, 'n_estimators': 50}
2 {'learning_rate': 0.00023211300047493047, 'max_depth': 7, 'n_estimators': 200}
3 {'learning_rate': 0.00045485457314731686, 'max_depth': 7, 'n_estimators': 200}
4 {'learning_rate': 0.0014227995436786219, 'max_depth': 8, 'n_estimators': 50}
5 {'learning_rate': 0.00023709567872267208, 'max_depth': 3, 'n_estimators': 50}
6 {'learning_rate': 0.0011469875550869462, 'max_depth': 4, 'n_estimators': 200}
7 {'learning_rate': 0.004231239979402405, 'max_depth': 9, 'n_estimators': 50}
8 {'learning_rate': 0.00011454466712346157, 'max_depth': 5, 'n_estimators': 50}
9 {'learning_rate': 0.00030660755039288863, 'max_depth': 9, 'n_estimators': 50}
10 {'learning_rate': 0.00015397511499613107, 'max_depth': 4, 'n_estimators': 200}
11 {'learning_rate': 0.003465474088546236, 'max_depth': 3, 'n_estimators': 200}
12 {'learning_rate': 0.0004391413007311544, 'max_depth': 6, 'n_estimators': 200}
13 {'learning_rate': 0.006592285677112942, 'max_depth': 4, 'n_estimators': 50}
14 {'learning_rate': 0.0004408660645020728, 'max_depth': 7, 'n_estimators': 100}
15 {'learning_rate': 0.007629989844746666, 'max_depth': 5, 'n_estimators': 50}
16 {'learning_rate': 0.00033907637148100135, 'max_depth': 6, 'n_estimators': 200}
17 {'learning_rate': 0.004370995237916458, 'max_depth': 9, 'n_estimators': 50}
18 {'learning_rate': 0.00034222387473553044, 'max_depth': 5, 'n_estimators': 100}
19 {'learning_rate': 0.00900140394892939, 'max_depth': 5, 'n_estimators': 50}
20 {'learning_rate': 0.0005950217950461749, 'max_depth': 7, 'n_estimators': 200}
21 {'learning_rate': 0.009930162665378236, 'max_depth': 3, 'n_estimators': 200}
22 {'learning_rate': 0.002682373006645328, 'max_depth': 3, 'n_estimators': 50}
23 {'learning_rate': 0.00289492890230391, 'max_depth': 6, 'n_estimators': 100}
24 {'learning_rate': 0.0032693097743932585, 'max_depth': 3, 'n_estimators': 200}
25 {'learning_rate': 0.00014987344416552987, 'max_depth': 4, 'n_estimators': 50}
26 {'learning_rate': 0.0052941397418648384, 'max_depth': 6, 'n_estimators': 50}
27 {'learning_rate': 0.0012798333848156604, 'max_depth': 3, 'n_estimators': 200}
28 {'learning_rate': 0.0047856642630686634, 'max_depth': 4, 'n_estimators': 200}
29 {'learning_rate': 0.004104078552390632, 'max_depth': 9, 'n_estimators': 50}
30 {'learning_rate': 0.0013002275766074056, 'max_depth': 4, 'n_estimators': 50}
