1 {'C': 338.7132426707586, 'gamma': 0.0006381221563530349, 'kernel': 'rbf'}
2 {'C': 453.09152856474793, 'gamma': 0.0009804151120672384, 'kernel': 'linear'}
3 {'C': 325.0119458386741, 'gamma': 0.00013036548889220966, 'kernel': 'linear'}
4 {'C': 106.86027848388967, 'gamma': 0.0007281650753848641, 'kernel': 'linear'}
5 {'C': 244.56605711985404, 'gamma': 0.0007044466249306425, 'kernel': 'rbf'}
6 {'C': 1.7142448128706889, 'gamma': 0.0002411877262430529, 'kernel': 'linear'}
7 {'C': 20.480511779204196, 'gamma': 0.0003547306799410832, 'kernel': 'linear'}
8 {'C': 23.234890715494092, 'gamma': 0.00010906093379383464, 'kernel': 'linear'}
9 {'C': 3.3657652904116993, 'gamma': 0.0003785580634137986, 'kernel': 'linear'}
10 {'C': 47.61636818688765, 'gamma': 0.0006773657772162885, 'kernel': 'rbf'}
11 {'C': 42.00983564985253, 'gamma': 0.0003740485887869329, 'kernel': 'rbf'}
12 {'C': 43.95070841295906, 'gamma': 0.0008574993003544518, 'kernel': 'rbf'}
13 {'C': 339.7622330373142, 'gamma': 0.0007934532886884641, 'kernel': 'rbf'}
14 {'C': 351.20779027313336, 'gamma': 0.0003354671656692574, 'kernel': 'rbf'}
15 {'C': 14.163784271564001, 'gamma': 0.0006298074836583177, 'kernel': 'rbf'}
16 {'C': 23.20230561149928, 'gamma': 0.0002243657655301695, 'kernel': 'linear'}
17 {'C': 22.02789047820627, 'gamma': 0.0001012926094675382, 'kernel': 'linear'}
18 {'C': 523.1428915524825, 'gamma': 0.0002891038365337596, 'kernel': 'rbf'}
19 {'C': 78.58450521300485, 'gamma': 0.0005047228724467028, 'kernel': 'rbf'}
20 {'C': 4.422935218370817, 'gamma': 0.00012384570007621703, 'kernel': 'linear'}
21 {'C': 34.571932554781995, 'gamma': 0.000695925905195194, 'kernel': 'rbf'}
22 {'C': 95.6570300202688, 'gamma': 0.0001975052862783767, 'kernel': 'rbf'}
23 {'C': 39.0984369354042, 'gamma': 0.0008675734073553459, 'kernel': 'linear'}
24 {'C': 6.365850022636404, 'gamma': 0.0006463729544888718, 'kernel': 'linear'}
25 {'C': 46.99130742093046, 'gamma': 0.0005245350884226052, 'kernel': 'rbf'}
26 {'C': 61.15727367436956, 'gamma': 0.0006447047399458306, 'kernel': 'rbf'}
27 {'C': 9.404832736944009, 'gamma': 0.00037713342293036763, 'kernel': 'linear'}
28 {'C': 65.14617793198528, 'gamma': 0.000834404056933184, 'kernel': 'rbf'}
29 {'C': 92.7583180228609, 'gamma': 0.0008590737985951954, 'kernel': 'rbf'}
30 {'C': 30.93567192334971, 'gamma': 0.0001243131316391786, 'kernel': 'linear'}
