1 {'C': 796.0134979304722, 'gamma': 0.0005494123495055331, 'kernel': 'rbf'}
2 {'C': 243.39892083172148, 'gamma': 0.0007554256647541919, 'kernel': 'rbf'}
3 {'C': 81.32933426909405, 'gamma': 0.0006782791098364616, 'kernel': 'rbf'}
4 {'C': 504.4450161275183, 'gamma': 0.0001225596640157822, 'kernel': 'linear'}
5 {'C': 140.5196588349501, 'gamma': 0.00011882853613464773, 'kernel': 'linear'}
6 {'C': 320.1070070293021, 'gamma': 0.0004722570312133825, 'kernel': 'rbf'}
7 {'C': 878.5232797929398, 'gamma': 0.0006207404059653995, 'kernel': 'rbf'}
8 {'C': 472.7941757571038, 'gamma': 0.0002512448845709436, 'kernel': 'linear'}
9 {'C': 339.4981091789955, 'gamma': 0.0008713340888808136, 'kernel': 'rbf'}
10 {'C': 8.349610716841106, 'gamma': 0.00016459023434573365, 'kernel': 'linear'}
11 {'C': 426.9910462812458, 'gamma': 0.0002743036412023851, 'kernel': 'linear'}
12 {'C': 256.51615752394514, 'gamma': 0.0007856603406406831, 'kernel': 'rbf'}
13 {'C': 498.0377342879642, 'gamma': 0.0003711166411129179, 'kernel': 'linear'}
14 {'C': 904.8729221676169, 'gamma': 0.0004650069520161723, 'kernel': 'rbf'}
15 {'C': 110.39839479811917, 'gamma': 0.00012928216536652192, 'kernel': 'linear'}
16 {'C': 14.517780354399163, 'gamma': 0.0004711264236559708, 'kernel': 'linear'}
17 {'C': 519.3905807835453, 'gamma': 0.0008524239027632021, 'kernel': 'linear'}
18 {'C': 49.64925144207214, 'gamma': 0.00028094049138985223, 'kernel': 'linear'}
19 {'C': 508.25342617951367, 'gamma': 0.000661282965617605, 'kernel': 'linear'}
20 {'C': 276.9153706575921, 'gamma': 0.0009398771210256112, 'kernel': 'rbf'}
21 {'C': 76.15852609271674, 'gamma': 0.000557242909067645, 'kernel': 'linear'}
22 {'C': 507.1832983625817, 'gamma': 0.0009917297577650651, 'kernel': 'rbf'}
23 {'C': 16.89058203964315, 'gamma': 0.0005253787401164902, 'kernel': 'linear'}
24 {'C': 67.5151680294727, 'gamma': 0.00012064575610636455, 'kernel': 'linear'}
25 {'C': 256.117943519234, 'gamma': 0.0007853000496373199, 'kernel': 'rbf'}
26 {'C': 9.805320411444447, 'gamma': 0.0009102696036461227, 'kernel': 'linear'}
27 {'C': 432.79296894716896, 'gamma': 0.00038961663517102777, 'kernel': 'rbf'}
28 {'C': 377.9880415865093, 'gamma': 0.0008272572325762617, 'kernel': 'rbf'}
29 {'C': 578.8003344641302, 'gamma': 0.00011232828375035249, 'kernel': 'linear'}
30 {'C': 214.77945712606822, 'gamma': 0.0008824033041356147, 'kernel': 'rbf'}
