1 {'weights': 'uniform', 'n_neighbors': 3}
2 {'weights': 'uniform', 'n_neighbors': 3}
3 {'weights': 'distance', 'n_neighbors': 3}
4 {'weights': 'distance', 'n_neighbors': 3}
5 {'weights': 'uniform', 'n_neighbors': 5}
6 {'weights': 'uniform', 'n_neighbors': 3}
7 {'weights': 'uniform', 'n_neighbors': 3}
8 {'weights': 'uniform', 'n_neighbors': 3}
9 {'weights': 'distance', 'n_neighbors': 3}
10 {'weights': 'uniform', 'n_neighbors': 3}
11 {'weights': 'uniform', 'n_neighbors': 3}
12 {'weights': 'distance', 'n_neighbors': 3}
13 {'weights': 'uniform', 'n_neighbors': 3}
14 {'weights': 'distance', 'n_neighbors': 3}
15 {'weights': 'uniform', 'n_neighbors': 3}
16 {'weights': 'uniform', 'n_neighbors': 3}
17 {'weights': 'distance', 'n_neighbors': 3}
18 {'weights': 'distance', 'n_neighbors': 3}
19 {'weights': 'distance', 'n_neighbors': 3}
20 {'weights': 'distance', 'n_neighbors': 3}
21 {'weights': 'distance', 'n_neighbors': 3}
22 {'weights': 'uniform', 'n_neighbors': 3}
23 {'weights': 'uniform', 'n_neighbors': 3}
24 {'weights': 'distance', 'n_neighbors': 3}
25 {'weights': 'distance', 'n_neighbors': 5}
26 {'weights': 'distance', 'n_neighbors': 3}
27 {'weights': 'uniform', 'n_neighbors': 5}
28 {'weights': 'distance', 'n_neighbors': 3}
29 {'weights': 'uniform', 'n_neighbors': 3}
30 {'weights': 'distance', 'n_neighbors': 3}
