1 {'learning_rate': 0.004900663373503637, 'max_depth': 7, 'n_estimators': 100}
2 {'learning_rate': 0.0021744460496408054, 'max_depth': 9, 'n_estimators': 200}
3 {'learning_rate': 0.0013666123041351501, 'max_depth': 5, 'n_estimators': 100}
4 {'learning_rate': 0.00808097116775668, 'max_depth': 5, 'n_estimators': 200}
5 {'learning_rate': 0.0026345608930896363, 'max_depth': 8, 'n_estimators': 100}
6 {'learning_rate': 0.00033583009838233864, 'max_depth': 9, 'n_estimators': 200}
7 {'learning_rate': 0.0005209459586385097, 'max_depth': 9, 'n_estimators': 100}
8 {'learning_rate': 0.00264900471804873, 'max_depth': 7, 'n_estimators': 200}
9 {'learning_rate': 0.009001226915411211, 'max_depth': 5, 'n_estimators': 100}
10 {'learning_rate': 0.0019615102349144144, 'max_depth': 9, 'n_estimators': 50}
11 {'learning_rate': 0.007657364576441849, 'max_depth': 5, 'n_estimators': 200}
12 {'learning_rate': 0.004092737278077619, 'max_depth': 6, 'n_estimators': 100}
13 {'learning_rate': 0.006655550357327572, 'max_depth': 8, 'n_estimators': 200}
14 {'learning_rate': 0.006585602115148192, 'max_depth': 5, 'n_estimators': 100}
15 {'learning_rate': 0.007589386944977184, 'max_depth': 9, 'n_estimators': 200}
16 {'learning_rate': 0.005581954079661649, 'max_depth': 9, 'n_estimators': 100}
17 {'learning_rate': 0.009979536551386213, 'max_depth': 9, 'n_estimators': 100}
18 {'learning_rate': 0.0021725407873882407, 'max_depth': 9, 'n_estimators': 100}
19 {'learning_rate': 0.007680443591973629, 'max_depth': 8, 'n_estimators': 100}
20 {'learning_rate': 0.003013785339693891, 'max_depth': 9, 'n_estimators': 100}
21 {'learning_rate': 0.006059349160603425, 'max_depth': 7, 'n_estimators': 200}
22 {'learning_rate': 0.006481357571220157, 'max_depth': 8, 'n_estimators': 50}
23 {'learning_rate': 0.0007534651230149388, 'max_depth': 6, 'n_estimators': 200}
24 {'learning_rate': 0.007250098017956218, 'max_depth': 7, 'n_estimators': 200}
25 {'learning_rate': 0.0005238119412175658, 'max_depth': 8, 'n_estimators': 100}
26 {'learning_rate': 0.0006826193197274058, 'max_depth': 8, 'n_estimators': 50}
27 {'learning_rate': 0.002116298572763271, 'max_depth': 9, 'n_estimators': 200}
28 {'learning_rate': 0.0009429421137486205, 'max_depth': 6, 'n_estimators': 200}
29 {'learning_rate': 0.007376925481307679, 'max_depth': 8, 'n_estimators': 200}
30 {'learning_rate': 0.008834747258397155, 'max_depth': 5, 'n_estimators': 200}
