1 {'C': 112.74018313511343, 'gamma': 0.00032631363360562544, 'kernel': 'linear'}
2 {'C': 732.8316784735007, 'gamma': 0.00019005271232535586, 'kernel': 'linear'}
3 {'C': 92.29328657549004, 'gamma': 0.00019869220237738678, 'kernel': 'linear'}
4 {'C': 744.954354461626, 'gamma': 0.0009879258614557448, 'kernel': 'rbf'}
5 {'C': 90.07657253177753, 'gamma': 0.0009076550598802383, 'kernel': 'rbf'}
6 {'C': 68.33603300289455, 'gamma': 0.0007327770516401431, 'kernel': 'rbf'}
7 {'C': 14.393605829591172, 'gamma': 0.00018545945868569244, 'kernel': 'linear'}
8 {'C': 572.577554033363, 'gamma': 0.0007222507804368177, 'kernel': 'rbf'}
9 {'C': 533.6167300911899, 'gamma': 0.0007360453724725045, 'kernel': 'rbf'}
10 {'C': 29.010525649839483, 'gamma': 0.00016155689785126687, 'kernel': 'linear'}
11 {'C': 464.09280881435285, 'gamma': 0.000858207737322766, 'kernel': 'linear'}
12 {'C': 918.0700827716125, 'gamma': 0.000351056730633518, 'kernel': 'rbf'}
13 {'C': 743.6555294302786, 'gamma': 0.000569164985612934, 'kernel': 'rbf'}
14 {'C': 194.41837410309256, 'gamma': 0.0007293455492123121, 'kernel': 'linear'}
15 {'C': 434.87439028927304, 'gamma': 0.0007578042786654363, 'kernel': 'rbf'}
16 {'C': 519.8062171841639, 'gamma': 0.00043971856497039416, 'kernel': 'linear'}
17 {'C': 38.324421149498384, 'gamma': 0.00020478616715441966, 'kernel': 'linear'}
18 {'C': 17.050922812698122, 'gamma': 0.00033656651320889915, 'kernel': 'linear'}
19 {'C': 9.028830292041988, 'gamma': 0.0007919983101786099, 'kernel': 'linear'}
20 {'C': 558.0969196509843, 'gamma': 0.0009487518843174176, 'kernel': 'rbf'}
21 {'C': 142.56545791347259, 'gamma': 0.0001998813268572965, 'kernel': 'linear'}
22 {'C': 923.8446432518133, 'gamma': 0.00043024412942803213, 'kernel': 'rbf'}
23 {'C': 921.5614664375835, 'gamma': 0.00017088376050656995, 'kernel': 'linear'}
24 {'C': 431.9443220573535, 'gamma': 0.00033225193808569635, 'kernel': 'rbf'}
25 {'C': 59.91366450765147, 'gamma': 0.0003910875209678574, 'kernel': 'linear'}
26 {'C': 13.252550954331419, 'gamma': 0.00011794775350383864, 'kernel': 'linear'}
27 {'C': 665.8495380230241, 'gamma': 0.0004910087922211902, 'kernel': 'rbf'}
28 {'C': 529.7741692828457, 'gamma': 0.0004383733290766353, 'kernel': 'rbf'}
29 {'C': 720.5515972884303, 'gamma': 0.0004756724263370195, 'kernel': 'rbf'}
30 {'C': 20.76533279856412, 'gamma': 0.0002583007753478967, 'kernel': 'linear'}
